ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,Flow,112 <= FLW <= 128,Maintain flow,INFO,128.0,,,112.0,L/min,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,TMP > 26,reduce speed by 10% and notify QC,WARNING,,26.0,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,PRS < 3.3,inspect inlet valve within 5 min,WARNING,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,175 <= TMP <= 195,Maintain temperature,INFO,195.0,,,175.0,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,TMP > 210,"emergency stop ST02, ST03, ST04",CRITICAL,210.0,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,Current,CUR > nominal + 1.5 sustained > 5 min,schedule maintenance,WARNING,1.5,,,,A,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,ST02_SEALING_CUR,Current,ST02_SEALING_CUR triggers WARNING,Monitor ST04_PACKAGING_SPD,INFO,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,1.8 <= TEN <= 2.6,Maintain tension,INFO,2.6,,,1.8,N,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,Count,"CNT < 110 (Warn), CNT < 100 (Crit)",check for label jam / halt,CRITICAL,,,110.0,100.0,pcs/min,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-ST03-03,SensorFaultRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,TEN STUCK > 10 consecutive samples,sensor failure,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,VIB > 0.20,schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,VIB > 0.35,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPD,Speed,SPD < 1.00,verify RULE-ST02-04,WARNING,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,Temperature,TMP <= 25,Maintain temperature,INFO,25.0,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,Temperature,TMP > 28,automatic controlled shutdown of all PLC nodes,CRITICAL,28.0,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,Temperature,"0.5 <= TMP <= 8 (Normal), TMP > 12 (Crit)",notify QC and quarantine batch,CRITICAL,12.0,8.0,0.5,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,Humidity,HUM > 85,inspect door seals and activate dehumidifier,WARNING,,85.0,,,%RH,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,Temperature,"10 <= TMP <= 20 (Normal), TMP > 25 (Crit)",activate emergency ventilation and notify safety officer,CRITICAL,25.0,20.0,10.0,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,reflexion,2,gemma4-31b_reflexion_ctexts_s42_run1,2,False
