ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,critHiExtra,warnHiExtra
RULE-THR-ST01-FLW-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,Flow ≤ 105 L/min at ST01_FILLING,Inspect and notify maintenance,CRITICAL,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-ST03-TEN-CRIT,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,Tension ≤ 1.5 N at ST03_LABELLING,Inspect and notify maintenance,CRITICAL,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-WRH01-TMP-CRIT,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,Temperature ≤ -1°C at WRH01_WAREHOUSE,Activate backup refrigeration; notify,CRITICAL,12,8,0.5,-1,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-CHM01-TMP-CRIT,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,Temperature ≤ 5°C at CHM01_CHEMICALSTORAGE,Activate emergency ventilation; notify safety officer,CRITICAL,25,20,10,5,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-ST02-PRS-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_PRS,PRS,Pressure ≤ 4.2 bar at ST02_SEALING,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-ST02-CUR-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,CUR,Current ≤ 9.5 A at ST02_SEALING,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-ST03-SPD-CRIT,ThresholdRule,ST03_LABELLING,ST03_LABELLING_SPD,SPD,Speed ≤ 0.65 m/s at ST03_LABELLING,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-ST04-CUR-CRIT,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_CUR,CUR,Current ≤ 6.5 A at ST04_PACKAGING,Inspect and notify maintenance,CRITICAL,11,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-ST04-SPD-CRIT,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,Speed ≤ 0.85 m/s at ST04_PACKAGING,Inspect and notify maintenance,CRITICAL,1.6,1.4,1,0.85,m/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-SRV01-HUM-CRIT,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_HUM,HUM,Humidity ≤ 25%RH at SRV01_SERVERROOM,Inspect and notify maintenance,CRITICAL,70,60,30,25,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-ST01-TMP-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TMP,Temperature ≤ 15°C at ST01_FILLING,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-ST01-PRS-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRS,Pressure ≤ 3 bar at ST01_FILLING,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-ST02-TMP-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,Temperature ≤ 165°C at ST02_SEALING,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-ST03-CNT-CRIT,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,Count ≤ 100 pcs/min at ST03_LABELLING,E-STOP labelling; inspect label path,CRITICAL,140,130,110,100,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-ST04-VIB-CRIT,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,Vibration ≤ 0.01 mm/s at ST04_PACKAGING,E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-SRV01-TMP-CRIT,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,Temperature ≤ 16°C at SRV01_SERVERROOM,Activate backup cooling; prepare controlled PLC,CRITICAL,28,25,18,16,°C,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
RULE-THR-WRH01-HUM-CRIT,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,HUM,Humidity ≤ 55%RH at WRH01_WAREHOUSE,Inspect and notify maintenance,CRITICAL,90,85,60,55,%RH,SOP_002_AlarmThresholds.txt,ministral-3:8b,few_shot_static,,,,,,
