ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,flow rate,112 <= FLW <= 128,,,128,0,0,0,L/min,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,temperature,26°C < TMP <= 195°C,,,0,195,26,0,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,pressure,3.3 bar < PRS <= 4 bar,,,0,4,3.3,0,bar,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,temperature,175°C <= TMP <= 195°C,,,0,195,175,0,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,temperature,210°C < TMP,,,0,210,0,0,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,current,1.5 A < CUR <= 2.0 A,,,0,2,1.5,0,A,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
RULE-ST02-04,ThresholdRule,ST02_SEALING,CUR,current,CUR > 2.0 A sustained > 5 min,,,0,0,0,0,A,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,tension,1.8 N <= TEN <= 2.6 N,,,0,2.6,1.8,0,N,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,count,110 pcs/min <= CNT < 100 pcs/min,,,0,100,110,0,pcs/min,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,tension,10 consecutive samples of TEN stuck > 10,,,0,0,0,10,samples,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
ST01_FILLING,,ST01,TMP,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI.,Inspect and notify maintenance,,30,26,18,15,,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
ST01_FILLING,,ST01,PRS,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI.,Inspect and notify maintenance,,4.8,3.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
ST01_FILLING,,ST01,FLW,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI.,Inspect and notify maintenance,,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
ST02_SEALING,,ST02,TMP,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI.,E-STOP ST02/ST03/ST04; inspect element,,210,195,175,165,,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
ST02_SEALING,,ST02,PRS,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI.,Inspect and notify maintenance,,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
ST02_SEALING,,ST02,CUR,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI.,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
ST03_LABELLING,,ST03,SPD,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI.,Inspect and notify maintenance,,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
ST03_LABELLING,,ST03,TEN,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI.,Inspect and notify maintenance,,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
ST03_LABELLING,,ST03,CNT,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI.,E-STOP labelling; inspect label path,,140,130,110,100,pcs/min,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,naive,0,llama-3_2-3b-instruct_naive_run1,1,False
