ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FlowRate,MUST be maintained between,,,128,,,,L/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,react_abox,3,mistralai-mistral-7b-instruct-v0_3_react_abox_run1,2,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,exceeds,reduce speed by 10% and notify QC.,,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,react_abox,3,mistralai-mistral-7b-instruct-v0_3_react_abox_run1,2,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,drops below,inspect inlet valve within 5 min.,,,,,3.3,bar,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,react_abox,3,mistralai-mistral-7b-instruct-v0_3_react_abox_run1,2,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,MUST remain between,,,195,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,react_abox,3,mistralai-mistral-7b-instruct-v0_3_react_abox_run1,2,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,> ,"emergency stop ST02, ST03, ST04.",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,react_abox,3,mistralai-mistral-7b-instruct-v0_3_react_abox_run1,2,False
ST01_FILLING_TMP,ThresholdRule,ST01_FILLING,TMP,,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,15,18,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,react_abox,3,mistralai-mistral-7b-instruct-v0_3_react_abox_run1,2,False
ST01_FILLING_PRS,ThresholdRule,ST01_FILLING,PRS,,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,3,3.3,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,react_abox,3,mistralai-mistral-7b-instruct-v0_3_react_abox_run1,2,False
ST01_FILLING_FLW,ThresholdRule,ST01_FILLING,FLW,,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,105,112,L/min,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,react_abox,3,mistralai-mistral-7b-instruct-v0_3_react_abox_run1,2,False
ST02_SEALING_TMP,ThresholdRule,ST02_SEALING,TMP,,CRIT_LO,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,,,165,165,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,react_abox,3,mistralai-mistral-7b-instruct-v0_3_react_abox_run1,2,False
ST02_SEALING_PRS,ThresholdRule,ST02_SEALING,PRS,,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,4.2,4.2,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,react_abox,3,mistralai-mistral-7b-instruct-v0_3_react_abox_run1,2,False
