ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,critH1
RULE-ST01-01,THRESHOLD,ST01_FILLING,FLW,FLOW_RATE,BETWEEN 112 AND 128 L/min,MONITOR,INFO,128,112,128,112,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-ST01-02,THRESHOLD,ST01_FILLING,TMP,TEMPERATURE,TMP > 26°C,REDUCE_SPEED,LOW,26,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-ST01-03,THRESHOLD,ST01_FILLING,PRS,PRESSURE,PRS < 3.3 bar,INSPECT_VALVE,MEDIUM,,,3.3,,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-ST02-01,THRESHOLD,ST02_SEALING,TMP,TEMPERATURE,BETWEEN 175°C AND 195°C,MONITOR,INFO,195,175,195,175,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-ST02-02,THRESHOLD,ST02_SEALING,TMP,TEMPERATURE,TMP > 210°C,EMERGENCY_STOP,CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-ST02-03,THRESHOLD,ST02_SEALING,CUR,CURRENT,CUR > 1.5 A above nominal sustained >5 min,MAINTENANCE_SCHEDULE,MEDIUM,,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-ST02-04,THRESHOLD,ST02_SEALING,CUR,CURRENT,CUR_drift_triggers_speed_reduction,MONITOR_ST04_SPD,WARNING,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-ST03-01,THRESHOLD,ST03_LABELLING,TEN,TENSION,BETWEEN 1.8 AND 2.6 N,MONITOR,INFO,2.6,1.8,2.6,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-ST03-02,THRESHOLD,ST03_LABELLING,CNT,COUNT_RATE,CNT < 110 pcs/min,CHECK_JAM,INFO,110,,,,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
RULE-ST03-03,THRESHOLD,ST03_LABELLING,TEN_STUCK,TENSION_STUCK,TEN_STUCK > 10 consecutive samples,SENSOR_FAILURE,MEDIUM,10,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run5,1,False,
