ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,FlowRate,MUST be maintained between,,,128,,,112,L/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,MUST remain between,,,195,,175,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,If exceeds,reduce speed by 10% and notify QC.,,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,PRS drop below,inspect inlet valve within 5 min.,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,CUR increase >1.5 A above nominal sustained >5 min,schedule maintenance.,,,,,,A,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,TMP > 210°C (CRITICAL),"emergency stop ST02, ST03, ST04.",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
ST01_FILLING_TMP,ThresholdRule,Production Line A,TMP,,CRIT_LO,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
ST01_FILLING_PRS,ThresholdRule,Production Line A,PRS,,CRIT_LO,Inspect and notify maintenance,CRITICAL,4.8,4.2,3,3,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
ST01_FILLING_FLW,ThresholdRule,Production Line A,FLW,,CRIT_LO,Inspect and notify maintenance,CRITICAL,135,128,105,105,L/min,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
ST02_SEALING_TMP,ThresholdRule,Production Line A,TMP,,CRIT_LO,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,,165,165,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
ST02_SEALING_PRS,ThresholdRule,Production Line A,PRS,,CRIT_LO,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.2,4.2,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
ST02_SEALING_CUR,ThresholdRule,Production Line A,CUR,,CRIT_LO,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,,9.5,9.5,A,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
MAINT-01,ThresholdRule,ST04_PACKAGING,VIB,,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing HIGH,HIGH,0.05,,,,mm/s,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
MAINT-02,ThresholdRule,ST02_SEALING,CUR,,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,1.0,,,,A,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
MAINT-04,ThresholdRule,ST01_FILLING,PRS,,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,3.3,,bar,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
MAINT-05,ThresholdRule,SRV01_SERVERROOM,TMP,,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,25,,,,°C,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
MAINT-06,ThresholdRule,WRH01_WAREHOUSE,TMP,,TMP DRIFT >2°C over 2 h,Inspect compressor; notify,QCRITICAL,2,,2,,°C,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
MAINT-07,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,,TMP >20°C for >10 min,Emergency ventilation; notify CRITICAL,CRITICAL,20,,,,°C,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
MAINT-03,ThresholdRule,ST03_LABELLING,TEN,,TEN STUCK >10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
RULE-ACCESS-01,UnauthorizedAccessRule,All,OccupancyEvent,event,"person_id, zone, timestamp",Log as OccupancyEvent::UnauthorisedAccess,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
PROD-01,OccupancyRule,Production_Area,OccupancyEvent,event,persons > 12,WARNING above 10; CRITICAL above 12,CRITICAL,12,10,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
SRVR-01,OccupancyRule,Server_Room,OccupancyEvent,event,persons > 2,CRITICAL above 2; access badge required,CRITICAL,2,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
WHR-01,OccupancyRule,General_Warehouse,OccupancyEvent,event,persons > 4,WARNING above 3,WARNING,4,3,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
ENTR-01,OccupancyRule,Main_Entrance,OccupancyEvent,event,persons > 8,,Monitoring only,8,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
RULE-ACCESS-04,UnauthorizedAccessRule,Chemical_Storage,OccupancyEvent,event,unauthorised_access,Immediate escalation to the Safety Officer regardless of role,CRITICAL,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False
