ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW MUST be maintained between 112 and 128 L/min,Inspect and notify maintenance,MANDATORY,,,,,L/min,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST01-02,,ST01_FILLING,ST01_FILLING_TMP,TMP,"If TMP exceeds 26°C, reduce speed by 10% and notify QC",Reduce speed by 10% and notify QC,,,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST01-03,,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS drop below 3.3 bar - inspect inlet valve within 5 min,Inspect inlet valve within 5 minutes,,,,,3.3,bar,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST02-01,,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP MUST remain between 175°C and 195°C,,,,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST02-02,,ST02_SEALING,,,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04","Emergency stop ST02, ST03, ST04",CRITICAL,,,,210.0,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST02-03,,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance,Schedule maintenance,,,,,1.5,A,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST02-04,,ST02_SEALING,,,CUR STUCK at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,Monitor ST04_PACKAGING-SPD,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-THR-ST01-TMP-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP critical thresholds for ST01_FILLING,Inspect and notify maintenance,CRITICAL,30.0,,,15.0,C,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-THR-ST01-PRS-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS critical thresholds for ST01_FILLING,Inspect and notify maintenance,CRITICAL,4.8,,,3.0,bar,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-THR-ST01-FLW-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW critical thresholds for ST01_FILLING,Inspect and notify maintenance,CRITICAL,135.0,,,105.0,L/min,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
