ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,langgraph_iterations
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,flow rate,between 112 and 128 L/min,maintain,,128,112,0,0,L/min,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,langgraph,2,llama-3_2-3b-instruct_langgraph_run1,3,False,3
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,temperature,exceeds 26°C,reduce speed by 10% and notify QC,,0,26,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,langgraph,2,llama-3_2-3b-instruct_langgraph_run1,3,False,3
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,pressure,drop below 3.3 bar,inspect inlet valve within 5 min,,0,3.3,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,langgraph,2,llama-3_2-3b-instruct_langgraph_run1,3,False,3
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,temperature,between 175 and 195°C,,,195,175,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,langgraph,2,llama-3_2-3b-instruct_langgraph_run1,3,False,3
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,temperature,exceeds 210°C,"emergency stop ST02, ST03, ST04",,0,210,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,langgraph,2,llama-3_2-3b-instruct_langgraph_run1,3,False,3
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,current,increase above 1.5 A sustained > 5 min,schedule maintenance,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,langgraph,2,llama-3_2-3b-instruct_langgraph_run1,3,False,3
RULE-ST02-04,ThresholdRule,ST02_SEALING,,,correlates with speed reduction at ST04_PACKAGING due to shared electrical coupling,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,langgraph,2,llama-3_2-3b-instruct_langgraph_run1,3,False,3
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,temperature,between 1.8 and 2.6 N,,,2.6,1.8,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,langgraph,2,llama-3_2-3b-instruct_langgraph_run1,3,False,3
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,count,below 110 pcs/min,check for label jam. Below 100 (CRITICAL): halt,,0,0,-,-,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,langgraph,2,llama-3_2-3b-instruct_langgraph_run1,3,False,3
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,temperature,stuck > 10 consecutive samples,sensor failure,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,langgraph,2,llama-3_2-3b-instruct_langgraph_run1,3,False,3
