ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,flow rate,Must be maintained between 112 and 128,Maintain,INFO,128,128,112,112,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,temperature,TMP exceeds 26°C,Reduce speed by 10% and notify QC,WARNING,26,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,pressure,PRS drop below 3.3 bar,Inspect inlet valve within 5 min,WARNING,,,3.3,,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,temperature,TMP MUST remain between 175°C and 195°C,Maintain,INFO,195,,175,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,temperature,TMP > 210°C (CRITICAL),"Emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-ST02-03,BehaviorRule,ST02_SEALING,CUR,current,CUR increase >1.5 A above nominal sustained >5 min,Schedule maintenance,WARNING,,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,current,CUR drift correlates with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a warning,WARNING,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,tensile strength,TEN MUST be between 1.8 and 2.6 N,Maintain,INFO,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,count rate,CNT below 110 pcs/min - check for label jam. Below 100 (CRITICAL): halt.,Check label jam; halt if below 100 pcs/min,WARNING,,,110,100,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-ST03-03,BehaviorRule,ST03_LABELLING,TEN,tensile strength,TEN STUCK >10 consecutive samples,Sensor failure,INFO,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,vibration,VIB > 0.20 mm/s (WARNING),Schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,vibration,VIB > 0.35 mm/s (CRITICAL),Emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-ST04-03,BehaviorRule,ST04_PACKAGING,SPD,speed,SPD drops below 1.00 m/s without operator command,Verify RULE-ST02-04,WARNING,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,temperature,TMP MUST NOT exceed 25°C,Maintain,INFO,25,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,temperature,TMP > 28°C (CRITICAL),Automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,temperature,TMP MUST remain between 0.5°C and 8°C. CRITICAL above 12°C,Notify QC and quarantine batch,WARNING,12,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,humidity,HUM above 85%RH,Inspect door seals and activate dehumidifier,INFO,,85,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,temperature,TMP MUST remain between 10°C and 20°C. CRITICAL above 25°C,Activate emergency ventilation and notify safety officer immediately,CRITICAL,25,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,humidity,HUM MUST NOT exceed 50%RH. Elevated humidity accelerates degradation of hygroscopic reagents. Activate desiccant system if HUM >45%RH.,Activate desiccant system,INFO,,45,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-CH01-03,BehaviorRule,CHM01_CHEMICALSTORAGE,,,UNAUTHORIZED_ACCESS must be escalated within 2 minutes,Escalate,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,temperature,TMP MUST remain between 18°C and 26°C for experimental validity,Maintain,INFO,26,,18,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,humidity,HUM drift above 65%RH - activate dehumidifier,Activate dehumidifier,INFO,,65,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,naive,0,nemotron-3-nano-30b_naive_ctexts_s42_run3,1,False
