ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,flow rate,112 <= FLW <= 128,,,128,0,0,0,L/min,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,temperature,26°C < TMP <= 28°C,,,28,0,0,0,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,pressure,3.3 < PRS <= 4.0,,,4.0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,temperature,175°C <= TMP <= 195°C,,,195,0,0,0,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,temperature,210°C < TMP,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,current,1.5 A < CUR <= 2.0 A,,,2.0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
RULE-ST02-04,ThresholdRule,ST02_SEALING,CUR,current,CUR > 2.0 A,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,temperature,1.8 <= TEN <= 2.6,,,2.6,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,count,110 <= CNT <= 120,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,temperature,CNT < 110,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
SOP-002-01,,ST01,TMP,,"{CRIT_LO: 15, WARN_LO: 18, NOMINAL: 22.0 ± 0.4, WARN_HI: 26, CRIT_HI: 30}",Inspect and notify maintenance,,30,26,18,15,,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
SOP-002-02,,ST01,PRS,,"{CRIT_LO: 3, WARN_LO: 3.3, NOMINAL: 3.8 ± 0.05, WARN_HI: 4.2, CRIT_HI: 4.8}",Inspect and notify maintenance,,4.8,4.2,3.3,3,,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
SOP-002-03,,ST01,FLW,,"{CRIT_LO: 105, WARN_LO: 112, NOMINAL: 120.0 ± 1.5, WARN_HI: 128, CRIT_HI: 135}",Inspect and notify maintenance,,135,128,112,105,,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
SOP-002-04,,ST02,TMP,,"{CRIT_LO: 165, WARN_LO: 175, NOMINAL: 185.0 ± 1.2, WARN_HI: 195, CRIT_HI: 210}",E-STOP ST02/ST03/ST04; inspect element,,210,195,175,165,,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
SOP-002-05,,ST02,PRS,,"{CRIT_LO: 4.2, WARN_LO: 4.6, NOMINAL: 5.2 ± 0.08, WARN_HI: 5.7, CRIT_HI: 6.2}",Inspect and notify maintenance,,6.2,5.7,4.6,4.2,,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
SOP-002-06,,ST02,CUR,,"{CRIT_LO: 9.5, WARN_LO: 11, NOMINAL: 12.4 ± 0.3, WARN_HI: 13.5, CRIT_HI: 15}",E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),,15,13.5,11,9.5,,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
SOP-002-07,,ST03,SPD,,"{CRIT_LO: 0.65, WARN_LO: 0.75, NOMINAL: 0.85 ± 0.01, WARN_HI: 0.95, CRIT_HI: 1.05}",Inspect and notify maintenance,,1.05,0.95,0.75,0.65,,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
MAINT-01,,ST04_PACKAGING,VIB,,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing HIGH,HIGH,0.05,0.05,,,mm/s,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
MAINT-02,,ST02_SEALING,CUR,,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,1.0,1.0,,,A,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
MAINT-03,,ST03_LABELLING,TEN,,TEN STUCK >10 samples,Replace sensor,MEDIUM,10,10,,,,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
MAINT-04,,ST01_FILLING,PRS,,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,3.3,3.3,,,,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
MAINT-05,,SRV01_SERVERROOM,TMP,,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,25,25,,,,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
MAINT-06,,WRH01_WAREHOUSE,TMP,,TMP DRIFT >2°C over 2 h,Inspect compressor; notify,QCRITICAL,2,2,,,,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
MAINT-07,,CHM01_CHEMICALSTORAGE,TMP,,TMP >20°C for >10 min,Emergency ventilation; notify,CRITICAL,20,20,,,,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
MAINT-08,,RND01_RDLAB,HUM,,HUM DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC,HIGH,10,10,,,,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
RULE-CHM01-03,ThresholdRule,Chemical Storage,Occupancy,person_count,"critHi: 4, warnHi: 3, warnLo: 2, critLo: 1, unit: person",,,,,,,,SOP_004_PersonnelZoneAccess.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
RULE-ACCESS-01,AccessControlRule,,,,,"log as OccupancyEvent::UnauthorisedAccess with person_id, zone, and timestamp.",,,,,,,SOP_004_PersonnelZoneAccess.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
RULE-ACCESS-02,AccessControlRule,,,,,notify security personnel within 2 minutes of detection.,,,,,,,SOP_004_PersonnelZoneAccess.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
RULE-ACCESS-03,AccessControlRule,,,,,,,,,,,,SOP_004_PersonnelZoneAccess.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
RULE-ACCESS-04,AccessControlRule,Chemical Storage,,,,immediate escalation to Safety Officer regardless of role.,,,,,,,SOP_004_PersonnelZoneAccess.txt,llama-3.2-3b-instruct,cot_structured,1,llama-3_2-3b-instruct_cot_structured_run1,1,False
