condition,runs,f1_mean,f1_std,f1_min,f1_max,pr_mean,re_mean,items_mean,items_std,max_pr
ext_gemma4-31b_reflexion_guided_ctexts_s42,5,0.949,0.02,0.919,0.97,0.993,0.909,78.8,3.0,1.0
ext_gemma4-31b_reflexion_ctexts_s42,5,0.939,0.008,0.932,0.952,0.993,0.891,77.2,2.6,1.0
ext_gemma4-31b_pre_act_ctexts_s42,5,0.894,0.009,0.879,0.904,0.992,0.814,70.6,0.5,1.0
ext_gemma4-31b_cot_basic_ctexts_s42,5,0.892,0.005,0.886,0.897,0.992,0.812,70.4,1.1,1.0
ext_gemma4-31b_naive_ctexts_s42,5,0.859,0.014,0.838,0.876,0.988,0.76,66.2,2.4,1.0
ext_gemma4-31b_cot_structured_ctexts_s42,5,0.85,0.014,0.838,0.868,1.0,0.74,63.6,1.8,1.0
ext_gemma4-31b_self_consistency_ctexts_s42,5,0.846,0.0,0.846,0.846,1.0,0.733,63.0,0.0,1.0
ext_gemma4-31b_few_shot_static_ctexts_s42,5,0.84,0.004,0.838,0.846,1.0,0.723,62.2,0.4,1.0
ext_nemotron-3-nano-30b_reflexion_guided_ctexts_s42,5,0.84,0.058,0.756,0.897,0.957,0.751,67.6,5.9,1.0
ext_gemma4-31b_graph_informed_ctexts_s42,5,0.838,0.0,0.838,0.838,1.0,0.721,62.0,0.0,1.0
ext_nemotron-3-nano-30b_self_consistency_ctexts_s42,5,0.825,0.031,0.78,0.853,1.0,0.702,60.4,3.8,1.0
ext_nemotron-3-nano-30b_cot_basic_ctexts_s42,5,0.822,0.064,0.715,0.877,0.983,0.709,62.0,7.2,1.0
ext_nemotron-3-nano-30b_naive_ctexts_s42,5,0.819,0.034,0.766,0.861,0.993,0.698,60.4,3.6,1.0
ext_gemma4-31b_react_abox_ctexts_s42,5,0.814,0.055,0.716,0.838,1.0,0.688,59.2,6.3,1.0
ext_nemotron-3-nano-30b_reflexion_ctexts_s42,5,0.794,0.056,0.71,0.852,0.871,0.756,79.0,29.7,0.931
baseline_b0,1,0.771,0.0,0.771,0.771,1.0,0.628,54.0,0.0,1.0
ext_nemotron-3-nano-30b_pre_act_ctexts_s42,5,0.768,0.119,0.625,0.934,0.795,0.805,97.8,45.1,0.837
ext_nemotron-3-nano-30b_few_shot_static_ctexts_s42,5,0.767,0.024,0.734,0.797,0.906,0.681,67.2,20.2,0.969
ext_nemotron-3-nano-30b_graph_informed_ctexts_s42,5,0.754,0.05,0.677,0.808,0.947,0.63,57.4,8.6,1.0
ext_nemotron-3-nano-30b_cot_structured_ctexts_s42,5,0.729,0.118,0.562,0.818,0.859,0.693,78.4,48.6,0.906
ext_nemotron-3-nano-30b_react_abox_ctexts_s42,5,0.707,0.101,0.538,0.783,0.972,0.563,49.8,10.3,1.0
