ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,OperationalRule,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW MUST be between 112 and 128 L/min,Inspect and notify maintenance,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,few_shot_static,0,llama-3_2-3b-instruct_few_shot_static_run1,1,False
RULE-ST01-02,OperationalRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP exceeds 26°C - reduce speed by 10% and notify QC,Inspect and notify maintenance,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,few_shot_static,0,llama-3_2-3b-instruct_few_shot_static_run1,1,False
RULE-ST01-03,OperationalRule,ST01_FILLING,ST01_PRS,PRS,PRS drop below 3.3 bar - inspect inlet valve within 5 min,Inspect and notify maintenance,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,few_shot_static,0,llama-3_2-3b-instruct_few_shot_static_run1,1,False
RULE-ST02-01,OperationalRule,ST02_SEALING,ST02_TMP,TMP,TMP MUST remain between 175°C and 195°C,Inspect and notify maintenance,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,few_shot_static,0,llama-3_2-3b-instruct_few_shot_static_run1,1,False
RULE-ST02-02,OperationalRule,ST02_SEALING,ST02_TMP,TMP,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04",Inspect and notify maintenance,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,few_shot_static,0,llama-3_2-3b-instruct_few_shot_static_run1,1,False
RULE-ST02-03,OperationalRule,ST02_SEALING,ST02_CUR,CUR,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance,Inspect and notify maintenance,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,few_shot_static,0,llama-3_2-3b-instruct_few_shot_static_run1,1,False
RULE-ST02-04,OperationalRule,ST02_SEALING,ST02_CUR,CUR,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,Inspect and notify maintenance,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,few_shot_static,0,llama-3_2-3b-instruct_few_shot_static_run1,1,False
RULE-ST03-01,OperationalRule,ST03_LABELLING,ST03_TEN,TEN,TEN MUST be between 1.8 and 2.6 N,Inspect and notify maintenance,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,few_shot_static,0,llama-3_2-3b-instruct_few_shot_static_run1,1,False
RULE-ST03-02,OperationalRule,ST03_LABELLING,ST03_CNT,CNT,CNT below 110 pcs/min - check for label jam. Below 100 (CRITICAL): halt,Inspect and notify maintenance,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,few_shot_static,0,llama-3_2-3b-instruct_few_shot_static_run1,1,False
RULE-ST03-03,OperationalRule,ST03_LABELLING,ST03_TEN,TEN,TEN STUCK >10 consecutive samples - sensor failure,Inspect and notify maintenance,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,few_shot_static,0,llama-3_2-3b-instruct_few_shot_static_run1,1,False
