ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,,ST01_FILLING,FLW,,MUST be maintained between 112 and 128 L/min.,,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
RULE-ST01-02,,ST01_FILLING,TMP,,"If TMP exceeds 26°C, reduce speed by 10% and notify QC.",,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
RULE-ST01-03,,ST01_FILLING,PRS,,PRS drop below 3.3 bar - inspect inlet valve within 5 min.,,,,,,3.3,bar,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
RULE-ST02-01,,ST02_SEALING,TMP,,TMP MUST remain between 175°C and 195°C.,,,,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
RULE-ST02-02,,ST02_SEALING,,,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04.",,,,,,210,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
RULE-ST02-03,,ST02_SEALING,CUR,,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance.,,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
RULE-ST02-04,,ST02_SEALING,CUR,,CUR STICKS at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
RULE-ST03-01,,ST03_LABELLING,TEN,,TEN MUST be between 1.8 and 2.6 N.,,,,,,,N,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
SOP-002-1,,ST01_FILLING,TMP,temperature,,Inspect and notify maintenance,CRITICAL,,,,15,°C,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
SOP-002-2,,ST01_FILLING,PRS,pressure,,Inspect and notify maintenance,CRITICAL,,,,3,bar,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
SOP-002-3,,ST01_FILLING,FLW,flow,,Inspect and notify maintenance,CRITICAL,,,,105,L/min,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
SOP-002-4,,ST02_SEALING,TMP,temperature,,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,,,,165,°C,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
SOP-002-5,,ST02_SEALING,PRS,pressure,,Inspect and notify maintenance,CRITICAL,,,,4.2,bar,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
SOP-002-6,,ST02_SEALING,CUR,current,,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,,,,9.5,A,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
SOP-002-7,,ST03_LABELLING,SPD,speed,,Inspect and notify maintenance,CRITICAL,,,,0.65,m/s,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
SOP-002-8,,ST03_LABELLING,TEN,tension,,Inspect and notify maintenance,CRITICAL,,,,1.5,N,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,1,False
RULE-ACCESS-01,,,,,Any entry by an unauthorised role,"MUST be logged as OccupancyEvent::UnauthorisedAccess with person_id, zone, and timestamp.",,,,,,,SOP_004_PersonnelZoneAccess.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,2,False
RULE-ACCESS-02,,,,,Security personnel,MUST be notified within 2 minutes of detection.,,,,,,,SOP_004_PersonnelZoneAccess.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,2,False
RULE-ACCESS-03,,,,,The KG node,MUST include authorized=NO and a reference to this rule.,,,,,,,SOP_004_PersonnelZoneAccess.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,2,False
RULE-ACCESS-04,,,,,Chemical Storage has zero-tolerance policy.,Any UNAUTHORIZED_ACCESS triggers immediate escalation to the Safety Officer regardless of role.,,,,,,,SOP_004_PersonnelZoneAccess.txt,qwen2.5-7b-instruct,react_abox,3,qwen2_5-7b-instruct_react_abox_run1,2,False
