ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,flow,Flow must be maintained between 112 and 128 L/min,,,,128,112,,L/min,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_basic,1,gpt-oss-20b_cot_basic_s42_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,temperature,TMP > 26°C,Reduce speed by 10% and notify QC,,,26,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_basic,1,gpt-oss-20b_cot_basic_s42_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,pressure,PRS below 3.3 bar,Inspect inlet valve within 5 min,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_basic,1,gpt-oss-20b_cot_basic_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,temperature,TMP between 175 and 195°C,,,,195,175,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_basic,1,gpt-oss-20b_cot_basic_s42_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,temperature,TMP > 210°C (CRITICAL),"Emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_basic,1,gpt-oss-20b_cot_basic_s42_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,current,CUR increase > 1.5 A above nominal for >5 min,Schedule maintenance,,1.5,,,,A,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_basic,1,gpt-oss-20b_cot_basic_s42_run1,1,False
RULE-ST02-04,ActionRule,ST02_SEALING,,,CUR drift at ST02_SEALING correlates with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_basic,1,gpt-oss-20b_cot_basic_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,force,TEN between 1.8 and 2.6 N,,,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_basic,1,gpt-oss-20b_cot_basic_s42_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,count,"CNT below 110 pcs/min (warning), below 100 pcs/min (critical)",Check for label jam; halt,,,,110,100,pcs/min,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_basic,1,gpt-oss-20b_cot_basic_s42_run1,1,False
RULE-ST03-03,ActionRule,ST03_LABELLING,,,TEN STUCK >10 consecutive samples,Sensor failure,,,,,,,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_basic,1,gpt-oss-20b_cot_basic_s42_run1,1,False
