ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,FlowRate,MUST be maintained between,,,128,,,,L/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_structured,1,mistralai-mistral-7b-instruct-v0_3_cot_structured_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,exceeds,reduce speed by 10% and notify QC.,,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_structured,1,mistralai-mistral-7b-instruct-v0_3_cot_structured_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,drops below,inspect inlet valve within 5 min.,,,,,3.3,bar,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_structured,1,mistralai-mistral-7b-instruct-v0_3_cot_structured_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,MUST remain between,,,195,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_structured,1,mistralai-mistral-7b-instruct-v0_3_cot_structured_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,> ,"emergency stop ST02, ST03, ST04.",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_structured,1,mistralai-mistral-7b-instruct-v0_3_cot_structured_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Force,MUST be between,,,2.6,,,,N,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_structured,1,mistralai-mistral-7b-instruct-v0_3_cot_structured_run1,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> ,schedule maintenance within 24 h.,WARNING,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_structured,1,mistralai-mistral-7b-instruct-v0_3_cot_structured_run1,1,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> ,emergency stop; inspect bearings.,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_structured,1,mistralai-mistral-7b-instruct-v0_3_cot_structured_run1,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,MUST NOT exceed,,,25,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_structured,1,mistralai-mistral-7b-instruct-v0_3_cot_structured_run1,1,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,> ,automatic controlled shutdown of all PLC nodes.,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_structured,1,mistralai-mistral-7b-instruct-v0_3_cot_structured_run1,1,False
