ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW MUST be maintained between 112 and 128 L/min,Inspect and notify maintenance,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST01-02,,ST01_FILLING,ST01_FILLING_TMP,TMP,"If TMP exceeds 26°C, reduce speed by 10% and notify QC",Reduce speed by 10% and notify QC,WARNING,,26.0,,,C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST01-03,,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS drop below 3.3 bar - inspect inlet valve within 5 min,Inspect inlet valve within 5 minutes,CRITICAL,,,,3.3,bar,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST02-01,,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP MUST remain between 175°C and 195°C,Maintain temperature within range,MANDATORY,,,,,C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST02-02,OperationalRule,ST02_SEALING,,,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04",Emergency stop and inspect,CRITICAL,,,,210.0,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST02-03,,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance,Schedule maintenance,WARNING,,,,1.5,A,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST02-04,,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR STICKS at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,WARNING,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST03-01,,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN MUST be between 1.8 and 2.6 N,Inspect and notify maintenance,MANDATORY,,,,,N,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST03-02,,ST03_LABELLING,ST03_LABELLING_CNT,CNT,CNT below 110 pcs/min - check for label jam. Below 100 (CRITICAL): halt,Check and halt if necessary,CRITICAL,,,100.0,110.0,pcs/min,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST03-03,,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN STUCK >10 consecutive samples - sensor failure,Replace or repair sensor,CRITICAL,,,,10.0,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST04-01,,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > 0.20 mm/s (WARNING) - schedule maintenance within 24 h.,Schedule maintenance,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST04-02,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > 0.35 mm/s (CRITICAL) - emergency stop; inspect bearings.,Emergency stop and inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-ST04-03,,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,SPD drops below 1.00 m/s without operator command - verify RULE-ST02-04.,Verify shared electrical coupling,WARNING,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
RULE-SRV01-01,,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP MUST NOT exceed 25°C.,Maintain temperature below 25°C,MANDATORY,,,,25.0,C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,few_shot_static,0,qwen2_5-7b-instruct_few_shot_static_run1,1,False
