ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,MUST be maintained between 112 and 128 L/min,maintain,Info,128.0,128.0,112.0,112.0,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP exceeds 26°C,reduce speed by 10% and notify QC,Warning,26.0,26.0,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRW,PRW,PRS drop below 3.3 bar,inspect inlet valve within 5 min,Warning,3.3,3.3,,,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP MUST remain between 175°C and 195°C,maintain,Info,195.0,195.0,175.0,175.0,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP > 210°C (CRITICAL),"emergency stop ST02, ST03, ST04",Critical,210.0,210.0,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR increase >1.5 A above nominal sustained >5 min,schedule maintenance,Warning,1.5,1.5,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-ST02-04,DependencyRule,ST02_SEALING,,,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,monitor ST04_PACKAGING-SPD,Info,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN MUST be between 1.8 and 2.6 N,maintain,Info,2.6,2.6,1.8,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,CNT below 110 pcs/min - check for label jam. Below 100 (CRITICAL): halt,check jam; halt if below 100,Warning,110.0,110.0,100.0,100.0,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,ST03_LABELLING_STU,STUCK,TEN STUCK >10 consecutive samples,sensor failure,Warning,10.0,10.0,,,samples,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > 0.20 mm/s (WARNING),schedule maintenance within 24 h,Warning,0.20,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > 0.35 mm/s (CRITICAL),emergency stop; inspect bearings,Critical,0.35,0.35,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,SPD drops below 1.00 m/s without operator command,verify RULE-ST02-04,Warning,1.00,1.00,,,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP MUST NOT exceed 25°C,maintain,Info,25.0,25.0,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP > 28°C (CRITICAL),automatic controlled shutdown of all PLC nodes,Critical,28.0,28.0,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,TMP MUST remain between 0.5°C and 8°C. CRITICAL above 12°C,notify QC and quarantine batch,Warning,12.0,12.0,8.0,0.5,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,HUM,HUM above 85%RH,inspect door seals and activate dehumidifier,Warning,85.0,85.0,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,1,False
