ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,between,Maintain,,128,,112,,L/min,SOP_001_OperatingProcedures.txt,gemma3:12b,self_consistency,2,gemma3-12b_self_consistency_s42_run1,3,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,exceeds,reduce speed by 10% and notify QC,,26,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,self_consistency,2,gemma3-12b_self_consistency_s42_run1,3,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,drop below,inspect inlet valve within 5 min,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gemma3:12b,self_consistency,2,gemma3-12b_self_consistency_s42_run1,3,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,remain between,Maintain,,195,,175,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,self_consistency,2,gemma3-12b_self_consistency_s42_run1,3,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,exceeds,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,self_consistency,2,gemma3-12b_self_consistency_s42_run1,3,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,increase >,schedule maintenance,,1.5,,,,A,SOP_001_OperatingProcedures.txt,gemma3:12b,self_consistency,2,gemma3-12b_self_consistency_s42_run1,3,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,CORRELATES with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,gemma3:12b,self_consistency,2,gemma3-12b_self_consistency_s42_run1,3,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,between,Maintain,,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,gemma3:12b,self_consistency,2,gemma3-12b_self_consistency_s42_run1,3,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,Tension,STUCK >,sensor failure,,10,,,,consecutive samples,SOP_001_OperatingProcedures.txt,gemma3:12b,self_consistency,2,gemma3-12b_self_consistency_s42_run1,3,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,exceeds,schedule maintenance within 24 h,WARNING,0.20,,,,mm/s,SOP_001_OperatingProcedures.txt,gemma3:12b,self_consistency,2,gemma3-12b_self_consistency_s42_run1,3,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,exceeds,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gemma3:12b,self_consistency,2,gemma3-12b_self_consistency_s42_run1,3,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,SPD,Speed,drops below,verify RULE-ST02-04,,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,gemma3:12b,self_consistency,2,gemma3-12b_self_consistency_s42_run1,3,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,MUST NOT exceed,,,25,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,self_consistency,2,gemma3-12b_self_consistency_s42_run1,3,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,exceeds,automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,self_consistency,2,gemma3-12b_self_consistency_s42_run1,3,False
