file_name,total_extracted,strict_f1,strict_pr,strict_re,strict_tp,strict_fp,strict_fn,content_f1,content_pr,content_re,content_tp,content_fp,content_fn
ext_multi_agent_langgraph.csv,72,0.558,0.632,0.5,43,25,43,0.823,0.903,0.756,65,7,21
abl_noJudge_s42_run1.csv,65,0.531,0.639,0.453,39,22,47,0.795,0.923,0.698,60,5,26
abl_noValidator_s42_run1.csv,61,0.583,0.724,0.488,42,16,44,0.776,0.934,0.663,57,4,29
abl_noCM_s42_run1.csv,69,0.632,0.71,0.57,49,20,37,0.761,0.855,0.686,59,10,27
ext_gpt-oss-20b_few_shot_static_s42_run1.csv,65,0.411,0.477,0.36,31,34,55,0.728,0.846,0.64,55,10,31
ext_ministral-3-8b_few_shot_static_s42_run1.csv,79,0.606,0.633,0.581,50,29,36,0.727,0.759,0.698,60,19,26
ext_ministral-3-14b_few_shot_static_s42_run1.csv,82,0.527,0.543,0.512,44,37,42,0.726,0.744,0.709,61,21,25
abl_noAdj_s42_run1.csv,59,0.556,0.69,0.465,40,18,46,0.703,0.864,0.593,51,8,35
ext_qwen-qwen3-4b-2507_few_shot_static_s42_run1.csv,80,0.352,0.367,0.337,29,50,57,0.699,0.725,0.674,58,22,28
ext_gpt-oss-20b_reflexion_s42_run1.csv,65,0.397,0.462,0.349,30,35,56,0.662,0.769,0.581,50,15,36
ext_gemma3-12b_graph_informed_s42_run1.csv,65,0.403,0.476,0.349,30,33,56,0.649,0.754,0.57,49,16,37
baseline_b0.csv,56,0.789,1.0,0.651,56,0,30,0.634,0.804,0.523,45,11,41
ext_gpt-oss-20b_reflexion_guided_s42_run1.csv,89,0.38,0.403,0.36,31,46,55,0.617,0.607,0.628,54,35,32
ext_ministral-3-14b_reflexion_s42_run1.csv,70,0.333,0.371,0.302,26,44,60,0.615,0.686,0.558,48,22,38
ext_ministral-3-14b_graph_informed_s42_run1.csv,80,0.448,0.468,0.43,37,42,49,0.614,0.637,0.593,51,29,35
ext_gpt-oss-20b_react_abox_s42_run1.csv,64,0.4,0.469,0.349,30,34,56,0.613,0.719,0.535,46,18,40
ext_gemma3-12b_react_abox_s42_run1.csv,66,0.465,0.698,0.349,30,13,56,0.605,0.697,0.535,46,20,40
ext_gemma3-12b_reflexion_s42_run1.csv,77,0.373,0.4,0.349,30,45,56,0.601,0.636,0.57,49,28,37
ext_ministral-3-14b_react_abox_s42_run1.csv,78,0.38,0.403,0.36,31,46,55,0.585,0.615,0.558,48,30,38
ext_gemma3-12b_few_shot_static_s42_run1.csv,65,0.702,0.815,0.616,53,12,33,0.583,0.677,0.512,44,21,42
ext_gemma3-12b_reflexion_guided_s42_run1.csv,80,0.37,0.395,0.349,30,46,56,0.566,0.588,0.547,47,33,39
ext_ministral-3-8b_reflexion_s42_run1.csv,80,0.431,0.534,0.36,31,27,55,0.554,0.575,0.535,46,34,40
ext_ministral-3-8b_react_abox_s42_run1.csv,76,0.395,0.421,0.372,32,44,54,0.543,0.579,0.512,44,32,42
ext_ministral-3-8b_graph_informed_s42_run1.csv,83,0.431,0.534,0.36,31,27,55,0.533,0.542,0.523,45,38,41
ext_gpt-oss-20b_graph_informed_s42_run1.csv,63,0.416,0.492,0.36,31,32,55,0.51,0.603,0.442,38,25,48
ext_qwen-qwen3-4b-2507_react_abox_s42_run1.csv,78,0.356,0.377,0.337,29,48,57,0.5,0.526,0.477,41,37,45
ext_gpt-oss-20b_pre_act_s42_run1.csv,78,0.341,0.359,0.326,28,50,58,0.5,0.526,0.477,41,37,45
ext_qwen-qwen3-4b-2507_reflexion_s42_run1.csv,81,0.458,0.475,0.442,38,42,48,0.491,0.506,0.477,41,40,45
ext_qwen-qwen3-4b-2507_graph_informed_s42_run1.csv,81,0.458,0.475,0.442,38,42,48,0.491,0.506,0.477,41,40,45
ext_qwen-qwen3-4b-2507_pre_act_s42_run1.csv,82,0.371,0.383,0.36,31,50,55,0.476,0.488,0.465,40,42,46
ext_ministral-3-14b_cot_basic_s42_run1.csv,76,0.383,0.408,0.36,31,45,55,0.469,0.5,0.442,38,38,48
ext_gpt-oss-20b_naive_s42_run1.csv,66,0.422,0.508,0.36,31,30,55,0.461,0.53,0.407,35,31,51
ext_qwen-qwen3-4b-2507_cot_basic_s42_run1.csv,63,0.405,0.484,0.349,30,32,56,0.456,0.54,0.395,34,29,52
ext_qwen-qwen3-4b-2507_reflexion_guided_s42_run1.csv,110,0.415,0.392,0.442,38,59,48,0.449,0.4,0.512,44,66,42
ext_gpt-oss-20b_cot_basic_s42_run1.csv,66,0.355,0.409,0.314,27,39,59,0.447,0.515,0.395,34,32,52
ext_qwen-qwen3-4b-2507_self_consistency_s42_run1.csv,63,0.405,0.484,0.349,30,32,56,0.443,0.524,0.384,33,30,53
ext_qwen-qwen3-4b-2507_naive_s42_run1.csv,63,0.405,0.484,0.349,30,32,56,0.443,0.524,0.384,33,30,53
ext_gpt-oss-20b_self_consistency_s42_run1.csv,63,0.349,0.413,0.302,26,37,60,0.443,0.524,0.384,33,30,53
ext_ministral-3-14b_reflexion_guided_s42_run1.csv,108,0.337,0.337,0.337,29,57,57,0.433,0.389,0.488,42,66,44
ext_gemma3-12b_naive_s42_run1.csv,65,0.488,0.756,0.36,31,10,55,0.424,0.492,0.372,32,33,54
ext_gemma3-12b_pre_act_s42_run1.csv,71,0.397,0.443,0.36,31,39,55,0.42,0.465,0.384,33,38,53
ext_gemma3-12b_cot_structured_s42_run1.csv,68,0.458,0.667,0.349,30,15,56,0.416,0.471,0.372,32,36,54
ext_ministral-3-14b_self_consistency_s42_run1.csv,73,0.456,0.62,0.36,31,19,55,0.415,0.452,0.384,33,40,53
ext_gemma3-12b_self_consistency_s42_run1.csv,65,0.488,0.756,0.36,31,10,55,0.411,0.477,0.36,31,34,55
ext_ministral-3-14b_cot_structured_s42_run1.csv,85,0.408,0.492,0.349,30,31,56,0.409,0.412,0.407,35,50,51
ext_qwen-qwen3-4b-2507_cot_structured_s42_run1.csv,68,0.408,0.47,0.36,31,35,55,0.403,0.456,0.36,31,37,55
