ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FlowRate,between 112 and 128 L/min,maintain flow rate,,,128.0,112.0,,L/min,SOP_001_OperatingProcedures.txt,ministral-3:8b,react_abox,3,ministral-3-8b_react_abox_s42_run1,2,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,> 26°C,reduce speed by 10% and notify QC,WARNING,26.0,,,,C,SOP_001_OperatingProcedures.txt,ministral-3:8b,react_abox,3,ministral-3-8b_react_abox_s42_run1,2,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,< 3.3 bar,inspect inlet valve within 5 min,CRITICAL,,,3.3,,bar,SOP_001_OperatingProcedures.txt,ministral-3:8b,react_abox,3,ministral-3-8b_react_abox_s42_run1,2,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,between 175°C and 195°C,maintain temperature,,195.0,,175.0,,C,SOP_001_OperatingProcedures.txt,ministral-3:8b,react_abox,3,ministral-3-8b_react_abox_s42_run1,2,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,> 210°C,"emergency stop ST02, ST03, ST04",CRITICAL,210.0,,,,C,SOP_001_OperatingProcedures.txt,ministral-3:8b,react_abox,3,ministral-3-8b_react_abox_s42_run1,2,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,Current,> 1.5 A above nominal sustained >5 min,schedule maintenance,WARNING,,1.5,,,A,SOP_001_OperatingProcedures.txt,ministral-3:8b,react_abox,3,ministral-3-8b_react_abox_s42_run1,2,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,ST02_SEALING_CUR,Current,increase >1.5 A above nominal,monitor ST04_PACKAGING_SPD for speed reduction,WARNING,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,react_abox,3,ministral-3-8b_react_abox_s42_run1,2,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,between 1.8 and 2.6 N,maintain tension,,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,ministral-3:8b,react_abox,3,ministral-3-8b_react_abox_s42_run1,2,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,CountRate,< 100 pcs/min (CRITICAL),halt,CRITICAL,,100.0,110.0,,pcs/min,SOP_001_OperatingProcedures.txt,ministral-3:8b,react_abox,3,ministral-3-8b_react_abox_s42_run1,2,False
RULE-ST03-03,SensorFailureRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,STUCK >10 consecutive samples,sensor failure,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,react_abox,3,ministral-3-8b_react_abox_s42_run1,2,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,> 0.20 mm/s (WARNING),schedule maintenance within 24 h,WARNING,0.35,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,react_abox,3,ministral-3-8b_react_abox_s42_run1,2,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,> 0.35 mm/s (CRITICAL),emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,react_abox,3,ministral-3-8b_react_abox_s42_run1,2,False
RULE-ST04-03,SpeedRule,ST04_PACKAGING,ST04_PACKAGING_SPD,Speed,< 1.00 m/s without operator command,verify RULE-ST02-04,CRITICAL,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,react_abox,3,ministral-3-8b_react_abox_s42_run1,2,False
