corpus,field,runs_present,runs_total
dev_production_line,action,5,5
dev_production_line,anomaly_type,4,5
dev_production_line,authorization,5,5
dev_production_line,authorized_personnel,1,5
dev_production_line,cafeteria,2,5
dev_production_line,condition,5,5
dev_production_line,correlation,1,5
dev_production_line,crit_hi,5,5
dev_production_line,crit_lo,5,5
dev_production_line,critical_action,1,5
dev_production_line,critical_condition,1,5
dev_production_line,critical_response,5,5
dev_production_line,definition,5,5
dev_production_line,depends_on,5,5
dev_production_line,detection_criterion,5,5
dev_production_line,diagnosis,1,5
dev_production_line,downstream_effect,5,5
dev_production_line,enforcement,5,5
dev_production_line,fault_propagation,1,5
dev_production_line,flw_requirement,1,5
dev_production_line,hum_requirement,1,5
dev_production_line,max_ack_critical_min,5,5
dev_production_line,max_ack_warning_min,5,5
dev_production_line,max_persons,5,5
dev_production_line,nominal,5,5
dev_production_line,ontology_class,5,5
dev_production_line,pattern,5,5
dev_production_line,primary_criterion,5,5
dev_production_line,primary_fault,5,5
dev_production_line,priority,5,5
dev_production_line,requirement,5,5
dev_production_line,resolution,5,5
dev_production_line,role,5,5
dev_production_line,rule,4,5
dev_production_line,secondary_effect,5,5
dev_production_line,sensor,5,5
dev_production_line,station,5,5
dev_production_line,station_dependencies,3,5
dev_production_line,station_id,2,5
dev_production_line,subject,2,5
dev_production_line,ten_requirement,1,5
dev_production_line,threshold_hierarchy,5,5
dev_production_line,tmp_requirement,1,5
dev_production_line,trigger,4,5
dev_production_line,type,1,5
dev_production_line,unauthorized_access_action,1,5
dev_production_line,unit,5,5
dev_production_line,warn_hi,5,5
dev_production_line,warn_lo,5,5
dev_production_line,zone,5,5
external_test_biogas,acknowledgment_requirement,1,5
external_test_biogas,action,5,5
external_test_biogas,action_remarks,5,5
external_test_biogas,agitator_vibration,1,5
external_test_biogas,alarm,4,5
external_test_biogas,alarm_designation,4,5
external_test_biogas,alarms,1,5
external_test_biogas,biogas_quality_interlock,5,5
external_test_biogas,boiler_service_interval,1,5
external_test_biogas,ch4_limit,1,5
external_test_biogas,classification,4,5
external_test_biogas,condition,5,5
external_test_biogas,condition_span_drift,2,5
external_test_biogas,condition_zero_drift,2,5
external_test_biogas,confined_space,1,5
external_test_biogas,confined_space_entry,1,5
external_test_biogas,confined_space_entry_digester_tanks,1,5
external_test_biogas,critical_alarm_acknowledgment_deadline,1,5
external_test_biogas,deadline,1,5
external_test_biogas,digester_agitator,5,5
external_test_biogas,digester_temperature_probe_drift,1,5
external_test_biogas,display_message,1,5
external_test_biogas,entry_requirement,1,5
external_test_biogas,entry_supervisor_duty,2,5
external_test_biogas,equipment,5,5
external_test_biogas,examples,3,5
external_test_biogas,exclusion_zone,5,5
external_test_biogas,flare,1,5
external_test_biogas,flare_area_exclusion,4,5
external_test_biogas,flare_ignition_test,1,5
external_test_biogas,frequency,5,5
external_test_biogas,gas_analyser_calibration_drift,1,5
external_test_biogas,gas_holder_platform_access,1,5
external_test_biogas,h2s_alarm,1,5
external_test_biogas,h2s_limit,1,5
external_test_biogas,h2s_scrubber_media_replacement,1,5
external_test_biogas,hl,5,5
external_test_biogas,indicator,3,5
external_test_biogas,interval,1,5
external_test_biogas,limit_ch4,1,5
external_test_biogas,limit_h2s,1,5
external_test_biogas,limit_o2,1,5
external_test_biogas,limits,3,5
external_test_biogas,ll,5,5
external_test_biogas,location,1,5
external_test_biogas,log_entry,1,5
external_test_biogas,logging,2,5
external_test_biogas,logging_requirement,1,5
external_test_biogas,measurement_method,1,5
external_test_biogas,notification,3,5
external_test_biogas,o2_limit,1,5
external_test_biogas,parameter,5,5
external_test_biogas,permit,1,5
external_test_biogas,personnel_entry,2,5
external_test_biogas,personnel_requirement,1,5
external_test_biogas,probes,4,5
external_test_biogas,reminder,4,5
external_test_biogas,requirement,5,5
external_test_biogas,restriction,4,5
external_test_biogas,sensor,5,5
external_test_biogas,span_drift_limit,1,5
external_test_biogas,start_condition,1,5
external_test_biogas,status,2,5
external_test_biogas,stop_condition,1,5
external_test_biogas,subject,1,5
external_test_biogas,system,2,5
external_test_biogas,tag,5,5
external_test_biogas,testing_window,1,5
external_test_biogas,trigger,1,5
external_test_biogas,unit,5,5
external_test_biogas,zero_drift_limit,1,5
external_test_desalination,access_level,1,5
external_test_desalination,action,4,5
external_test_desalination,activity,1,5
external_test_desalination,anti_scalant_dosing_pump,1,5
external_test_desalination,anti_scalant_dosing_pump_status,2,5
external_test_desalination,authorization,4,5
external_test_desalination,brine_reject_flow,1,5
external_test_desalination,brine_reject_flow_logging_frequency,2,5
external_test_desalination,condition,4,5
external_test_desalination,consequence,4,5
external_test_desalination,critical_high_trip,1,5
external_test_desalination,critical_low_trip,1,5
external_test_desalination,high_pressure_intake_pump,1,5
external_test_desalination,high_pressure_intake_pump_ramp_up_maximum_rate,2,5
external_test_desalination,high_pressure_reverse_osmosis_skids,2,5
external_test_desalination,high_tier_alert,1,5
external_test_desalination,item,1,5
external_test_desalination,low_tier_alert,1,5
external_test_desalination,main_feed_breaker,1,5
external_test_desalination,maintenance_philosophy,1,5
external_test_desalination,max_bound,5,5
external_test_desalination,measurement,5,5
external_test_desalination,membrane_feed_pressure,2,5
external_test_desalination,metric_unit,5,5
external_test_desalination,min_bound,5,5
external_test_desalination,operational_phase,5,5
external_test_desalination,operational_troubleshooting_and_diagnostics,2,5
external_test_desalination,parameter,2,5
external_test_desalination,parameter_tag,4,5
external_test_desalination,permeate_bypass_valve,1,5
external_test_desalination,permeate_bypass_valve_status,2,5
external_test_desalination,permeate_conductivity,1,5
external_test_desalination,regulatory_compliance,4,5
external_test_desalination,required_correction,5,5
external_test_desalination,required_ppe,1,5
external_test_desalination,requirement,5,5
external_test_desalination,ro_feed_stream,2,5
external_test_desalination,role,5,5
external_test_desalination,subject,1,5
external_test_desalination,target,3,5
external_test_desalination,threshold,3,5
external_test_desalination,threshold_type,1,5
external_test_desalination,time_allowance,5,5
external_test_desalination,time_limit,1,5
external_test_desalination,trigger,1,5
external_test_desalination,value,1,5
external_test_desalination,water_quality_data,1,5
external_test_sulfuric_acid,acid_circulation_pump_p_107a,1,5
external_test_sulfuric_acid,action,5,5
external_test_sulfuric_acid,activity,1,5
external_test_sulfuric_acid,authority,2,5
external_test_sulfuric_acid,authorized_party,1,5
external_test_sulfuric_acid,automatic_action,5,5
external_test_sulfuric_acid,automatic_trip_scenarios,2,5
