run_id,base_exp_id,model,paradigm,run_n,level,reasoning_native,total_rules,sop_files,errors,duration_sec,avg_rule_sec,avg_llm_turns,temperature,prompt_tokens,completion_tokens,total_tokens,tokens_per_rule
qwen2_5-7b-instruct_naive_run1,qwen2_5-7b-instruct_naive,qwen2.5-7b-instruct,naive,1,0,False,30,4,0,101.66,3.3887,1.0,0,4943,3440,8383,279.4
qwen2_5-7b-instruct_few_shot_static_run1,qwen2_5-7b-instruct_few_shot_static,qwen2.5-7b-instruct,few_shot_static,1,0,False,26,4,0,98.6,3.7923,1.0,0,6027,3413,9440,363.1
qwen2_5-7b-instruct_graph_informed_run1,qwen2_5-7b-instruct_graph_informed,qwen2.5-7b-instruct,graph_informed,1,0,False,28,4,0,114.44,4.0872,1.0,0,5435,3346,8781,313.6
qwen2_5-7b-instruct_cot_basic_run1,qwen2_5-7b-instruct_cot_basic,qwen2.5-7b-instruct,cot_basic,1,1,False,30,4,0,102.65,3.4215,1.0,0,4995,3449,8444,281.5
qwen2_5-7b-instruct_cot_structured_run1,qwen2_5-7b-instruct_cot_structured,qwen2.5-7b-instruct,cot_structured,1,1,False,35,4,0,115.54,3.301,1.0,0,5255,3923,9178,262.2
qwen2_5-7b-instruct_pre_act_run1,qwen2_5-7b-instruct_pre_act,qwen2.5-7b-instruct,pre_act,1,1,False,30,4,0,117.28,3.9093,1.0,0,5091,3808,8899,296.6
qwen2_5-7b-instruct_self_consistency_run1,qwen2_5-7b-instruct_self_consistency,qwen2.5-7b-instruct,self_consistency,1,2,False,25,4,0,261.56,10.4623,3.0,0.3,14829,9539,24368,974.7
qwen2_5-7b-instruct_reflexion_run1,qwen2_5-7b-instruct_reflexion,qwen2.5-7b-instruct,reflexion,1,2,False,31,4,0,228.38,7.3671,2.0,0,17665,7442,25107,809.9
qwen2_5-7b-instruct_reflexion_guided_run1,qwen2_5-7b-instruct_reflexion_guided,qwen2.5-7b-instruct,reflexion_guided,1,2,False,30,4,0,326.4,10.8801,3.0,0,28551,11496,40047,1334.9
qwen2_5-7b-instruct_react_abox_run1,qwen2_5-7b-instruct_react_abox,qwen2.5-7b-instruct,react_abox,1,3,False,20,4,0,109.26,5.4632,1.2,0,7044,3558,10602,530.1
qwen2_5-7b-instruct_naive_run1,qwen2_5-7b-instruct_naive,qwen2.5-7b-instruct,naive,1,0,False,24,4,0,65.58,2.7324,1.0,0,3000,2859,5859,244.1
qwen2_5-7b-instruct_few_shot_static_run1,qwen2_5-7b-instruct_few_shot_static,qwen2.5-7b-instruct,few_shot_static,1,0,False,24,4,0,74.99,3.1245,1.0,0,4084,3332,7416,309.0
qwen2_5-7b-instruct_graph_informed_run1,qwen2_5-7b-instruct_graph_informed,qwen2.5-7b-instruct,graph_informed,1,0,False,34,4,0,84.01,2.4708,1.0,0,3492,3871,7363,216.6
qwen2_5-7b-instruct_cot_basic_run1,qwen2_5-7b-instruct_cot_basic,qwen2.5-7b-instruct,cot_basic,1,1,False,28,4,0,72.17,2.5776,1.0,0,3052,3279,6331,226.1
qwen2_5-7b-instruct_cot_structured_run1,qwen2_5-7b-instruct_cot_structured,qwen2.5-7b-instruct,cot_structured,1,1,False,35,4,0,85.23,2.4352,1.0,0,3312,3819,7131,203.7
qwen2_5-7b-instruct_pre_act_run1,qwen2_5-7b-instruct_pre_act,qwen2.5-7b-instruct,pre_act,1,1,False,32,4,0,92.22,2.8819,1.0,0,3148,4048,7196,224.9
qwen2_5-7b-instruct_self_consistency_run1,qwen2_5-7b-instruct_self_consistency,qwen2.5-7b-instruct,self_consistency,1,2,False,27,4,0,200.27,7.4175,3.0,0.3,9000,9174,18174,673.1
qwen2_5-7b-instruct_reflexion_run1,qwen2_5-7b-instruct_reflexion,qwen2.5-7b-instruct,reflexion,1,2,False,31,4,0,187.93,6.0623,2.0,0,14926,7967,22893,738.5
qwen2_5-7b-instruct_reflexion_guided_run1,qwen2_5-7b-instruct_reflexion_guided,qwen2.5-7b-instruct,reflexion_guided,1,2,False,31,4,0,289.69,9.3449,3.0,0,23806,12055,35861,1156.8
qwen2_5-7b-instruct_react_abox_run1,qwen2_5-7b-instruct_react_abox,qwen2.5-7b-instruct,react_abox,1,3,False,33,4,0,95.58,2.8965,1.0,0,3688,3887,7575,229.5
llama-3_2-3b-instruct_naive_run1,llama-3_2-3b-instruct_naive,llama-3.2-3b-instruct,naive,1,0,False,28,4,0,35.59,1.2709,1.0,0,2901,2846,5747,205.2
llama-3_2-3b-instruct_few_shot_static_run1,llama-3_2-3b-instruct_few_shot_static,llama-3.2-3b-instruct,few_shot_static,1,0,False,28,4,0,29.88,1.0672,1.0,0,3913,2369,6282,224.4
llama-3_2-3b-instruct_graph_informed_run1,llama-3_2-3b-instruct_graph_informed,llama-3.2-3b-instruct,graph_informed,1,0,False,31,4,0,39.84,1.285,1.0,0,3377,3273,6650,214.5
llama-3_2-3b-instruct_cot_basic_run1,llama-3_2-3b-instruct_cot_basic,llama-3.2-3b-instruct,cot_basic,1,1,False,27,4,0,35.3,1.3074,1.0,0,2953,2829,5782,214.1
