ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,langgraph_iterations
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,FLOW,MUST be maintained between 112 and 128 L/min,,,,,,,L/min,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,TEMPERATURE,exceeds 26°C,reduce speed by 10% and notify QC,,,,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,PRESSURE,drop below 3.3 bar - inspect inlet valve within 5 min,inspect inlet valve within 5 min,,,3.3,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,TEMPERATURE,MUST remain between 175°C and 195°C,,,195,,,175,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,TEMPERATURE,> 210°C (CRITICAL),"emergency stop ST02, ST03, ST04",CRITICAL,,,,210,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,CURRENT,>1.5 A above nominal sustained >5 min,schedule maintenance,,,,1.5,,A,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,TEMPERATURE,MUST be between 1.8 and 2.6 N,,,,,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,RATE,> 110 pcs/min,,CRITICAL,,,110,,pcs/min,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,TEMPERATURE,> 10 consecutive samples,sensor failure,,,,,10,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,VIBRATION,> 0.20 mm/s (WARNING),schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,VIBRATION,> 0.35 mm/s (CRITICAL),emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,SPD,SPEED,< 1.00 m/s without operator command,verify RULE-ST02-04,,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-SRV01_SERVERROOM,ThresholdRule,SRV01_SERVERROOM,TMP,TEMPERATURE,MUST NOT exceed 25°C,,CRITICAL,28,,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-WRH01_WAREHOUSE,ThresholdRule,WRH01_WAREHOUSE,TMP,TEMPERATURE,MUST remain between 0.5°C and 8°C,,CRITICAL,12,,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-CHM01_CHEMICALSTORAGE,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,TEMPERATURE,MUST remain between 10°C and 20°C,,CRITICAL,25,,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-CHM01_CHEMICALSTORAGE,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,HUMIDITY,exceeds 50%RH,activate desiccant system if HUM >45%RH,CRITICAL,50,45,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
RULE-RND01_RDLAB,ThresholdRule,RND01_RDLAB,TMP,TEMPERATURE,MUST remain between 18°C and 26°C,,CRITICAL,27,25.5,23.5,24,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,langgraph,2,deepseek-r1-distill-qwen-7b_langgraph_run1,3,False,3
