ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
1,Mandatory,ST01.FILLING,FLW,Laminar Flow,Range,Maintain within limits,Mandatory,,,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,react_abox,3,deepseek-r1-distill-qwen-7b_react_abox_run1,1,False
2,Critical,ST01.FILLING,TMP,Temperature,> 26°C,Reduce speed by 10% and notify QC,Critical,26.0,,,,°C,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,react_abox,3,deepseek-r1-distill-qwen-7b_react_abox_run1,1,False
3,Warning,ST01.FILLING,PRS,Pressure,< 3.3 bar,Inspect inlet valve within 5 min.,Warning,,,3.3,,bar,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,react_abox,3,deepseek-r1-distill-qwen-7b_react_abox_run1,1,False
4,Critical,ST02_SEALING,TMP,Temperature,> 210°C (CRITICAL),"Emergency stop ST02, ST03, ST04",Critical,210.0,,,,°C,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,react_abox,3,deepseek-r1-distill-qwen-7b_react_abox_run1,1,False
5,Warning,ST02_SEALING,CUR,Current,> 1.5 A sustained >5 min,Schedule maintenance,Warning,,1.5,,,A,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,react_abox,3,deepseek-r1-distill-qwen-7b_react_abox_run1,1,False
6,Critical,ST03_LABELLING,TEN,Temperature,> 10 consecutive samples,Sensor failure,Critical,,,10,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,react_abox,3,deepseek-r1-distill-qwen-7b_react_abox_run1,1,False
7,Warning,ST04_PACKAGING,VIB,Vibration,> 0.20 mm/s,Schedule maintenance within 24 h,Warning,0.20,,,,mm/s,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,react_abox,3,deepseek-r1-distill-qwen-7b_react_abox_run1,1,False
8,Critical,ST04_PACKAGING,VIB,Vibration,> 0.35 mm/s,Emergency stop; inspect bearings,Critical,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,react_abox,3,deepseek-r1-distill-qwen-7b_react_abox_run1,1,False
9,Warning,ST04_PACKAGING,SPD,Speed,Below 1.00 m/s without operator command,Verify RULE-ST02-04,Warning,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,react_abox,3,deepseek-r1-distill-qwen-7b_react_abox_run1,1,False
10,Mandatory,SRV01_SERVERROOM,TMP,Temperature,> 28°C (CRITICAL),Automatic controlled shutdown of all PLC nodes,Critical,25.0,,,28.0,°C,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,react_abox,3,deepseek-r1-distill-qwen-7b_react_abox_run1,1,False
