ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,Threshold,ST01,FLW,L/min,MUST be maintained between 112 and 128,maintain within range,INFO,,128,112,,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
RULE-ST01-02,Threshold,ST01,TMP,°C,exceeds 26°C,reduce speed by 10% and notify QC,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
RULE-ST01-03,Threshold,ST01,PRS,bar,drop below 3.3 bar,inspect inlet valve within 5 min,CRITICAL,,,3.3,,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
RULE-ST02-01,Threshold,ST02,TMP,°C,MUST remain between 175°C and 195°C,maintain within range,INFO,,195,175,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
RULE-ST02-02,Threshold,ST02,TMP,°C,CRITICAL > 210°C,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
RULE-ST02-03,Threshold,ST02,CUR,A,increase >1.5 A above nominal sustained >5 min,schedule maintenance,CRITICAL,,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
RULE-ST04-01,Threshold,ST04,VIB,mm/s,WARNING > 0.20 mm/s,schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
RULE-ST04-02,Threshold,ST04,VIB,mm/s,CRITICAL > 0.35 mm/s,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
RULE-ST03-01,Threshold,ST03,TEN,N,MUST be between 1.8 and 2.6,maintain within range,INFO,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
RULE-ST03-02,Threshold,ST03,CNT,pcs/min,CRITICAL below 100,halt,CRITICAL,,,100,,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
RULE-ST02-04-ddep,Dependent,ST04,SPD,m/s,Monitor SPD whenever ST02 SEALING CUR triggers a WARNING due to shared electrical coupling,watch for correlations,INFO,,,,,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
RULE-SRV01-01,Threshold,SRV01,TMP,°C,MUST NOT exceed 25°C,maintain within limit,INFO,,25,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
RULE-SRV01-02,Threshold,SRV01,TMP,°C,CRITICAL > 28°C,automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
RULE-WRH01-01,Threshold,WRH01,TMP,°C,CRITICAL above 12°C (range 0.5 to 8°C),notify QC and quarantine batch,CRITICAL,12,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
RULE-WRH01-02,Threshold,WRH01,HUM,%RH,above 85%RH,inspect door seals and activate dehumidifier,WARNING,,85,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run2,1,False
