file_name,total_extracted,gt_rows_total,max_possible_precision,forced_fp_from_row_count,content_f1,content_pr,content_re,content_tp,content_fp,content_fn,gt_ids_found_verbatim,gt_ids_distinct,id_reuse_frac
ext_gemma4-31b_reflexion_guided_ctexts_s42_run1_20260804_120958.csv,81,86,1.0,0,0.958,0.988,0.93,80,1,6,41,86,0.477
ext_gemma4-31b_reflexion_guided_ctexts_s42_run5_20260804_123634.csv,81,86,1.0,0,0.958,0.988,0.93,80,1,6,34,86,0.395
ext_gemma4-31b_reflexion_guided_ctexts_s42_run4_20260804_122741.csv,81,86,1.0,0,0.958,0.988,0.93,80,1,6,31,86,0.36
ext_gemma4-31b_reflexion_ctexts_s42_run4_20260804_120007.csv,80,86,1.0,0,0.952,0.988,0.919,79,1,7,33,86,0.384
ext_gemma4-31b_reflexion_ctexts_s42_run1_20260804_114831.csv,80,86,1.0,0,0.94,0.975,0.907,78,2,8,40,86,0.465
ext_gemma4-31b_reflexion_guided_ctexts_s42_run3_20260804_122233.csv,76,86,1.0,0,0.938,1.0,0.884,76,0,10,34,86,0.395
ext_gemma4-31b_reflexion_ctexts_s42_run5_20260804_120433.csv,76,86,1.0,0,0.938,1.0,0.884,76,0,10,31,86,0.36
ext_gemma4-31b_reflexion_ctexts_s42_run2_20260804_115347.csv,75,86,1.0,0,0.932,1.0,0.872,75,0,11,30,86,0.349
ext_gemma4-31b_reflexion_ctexts_s42_run3_20260804_115705.csv,75,86,1.0,0,0.932,1.0,0.872,75,0,11,33,86,0.384
ext_nemotron-3-nano-30b_pre_act_ctexts_s42_run2_20260803_225738.csv,81,86,1.0,0,0.922,0.951,0.895,77,4,9,27,86,0.314
ext_gemma4-31b_reflexion_guided_ctexts_s42_run2_20260804_121620.csv,75,86,1.0,0,0.919,0.987,0.86,74,1,12,31,86,0.36
ext_gemma4-31b_cot_basic_ctexts_s42_run1_20260804_103635.csv,71,86,1.0,0,0.904,1.0,0.826,71,0,15,30,86,0.349
ext_gemma4-31b_pre_act_ctexts_s42_run2_20260804_110834.csv,71,86,1.0,0,0.904,1.0,0.826,71,0,15,30,86,0.349
ext_gemma4-31b_pre_act_ctexts_s42_run1_20260804_110556.csv,71,86,1.0,0,0.904,1.0,0.826,71,0,15,30,86,0.349
ext_gemma4-31b_pre_act_ctexts_s42_run4_20260804_111511.csv,70,86,1.0,0,0.897,1.0,0.814,70,0,16,30,86,0.349
ext_gemma4-31b_cot_basic_ctexts_s42_run2_20260804_103937.csv,70,86,1.0,0,0.897,1.0,0.814,70,0,16,34,86,0.395
ext_nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run3_20260803_234443.csv,70,86,1.0,0,0.897,1.0,0.814,70,0,16,31,86,0.36
ext_gemma4-31b_pre_act_ctexts_s42_run5_20260804_111635.csv,70,86,1.0,0,0.897,1.0,0.814,70,0,16,33,86,0.384
ext_gemma4-31b_cot_basic_ctexts_s42_run3_20260804_104453.csv,70,86,1.0,0,0.897,1.0,0.814,70,0,16,30,86,0.349
ext_nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2_20260803_234200.csv,75,86,1.0,0,0.894,0.96,0.837,72,3,14,27,86,0.314
ext_gemma4-31b_cot_basic_ctexts_s42_run4_20260804_104622.csv,69,86,1.0,0,0.89,1.0,0.802,69,0,17,29,86,0.337
ext_nemotron-3-nano-30b_reflexion_ctexts_s42_run1_20260803_232306.csv,76,86,1.0,0,0.889,0.947,0.837,72,4,14,31,86,0.36
ext_gemma4-31b_cot_basic_ctexts_s42_run5_20260804_104935.csv,72,86,1.0,0,0.886,0.972,0.814,70,2,16,30,86,0.349
ext_gemma4-31b_pre_act_ctexts_s42_run3_20260804_111022.csv,71,86,1.0,0,0.879,0.972,0.802,69,2,17,30,86,0.349
ext_nemotron-3-nano-30b_cot_basic_ctexts_s42_run1_20260803_224208.csv,69,86,1.0,0,0.877,0.986,0.791,68,1,18,27,86,0.314
ext_gemma4-31b_naive_ctexts_s42_run2_20260804_095255.csv,67,86,1.0,0,0.876,1.0,0.779,67,0,19,30,86,0.349
ext_nemotron-3-nano-30b_graph_informed_ctexts_s42_run2_20260803_223706.csv,70,86,1.0,0,0.872,0.971,0.791,68,2,18,31,86,0.36
ext_gemma4-31b_naive_ctexts_s42_run4_20260804_095553.csv,68,86,1.0,0,0.87,0.985,0.779,67,1,19,30,86,0.349
ext_gemma4-31b_cot_structured_ctexts_s42_run3_20260804_105756.csv,66,86,1.0,0,0.868,1.0,0.767,66,0,20,30,86,0.349
ext_gemma4-31b_naive_ctexts_s42_run5_20260804_095747.csv,67,86,1.0,0,0.863,0.985,0.767,66,1,20,30,86,0.349
ext_gemma4-31b_naive_ctexts_s42_run1_20260804_095104.csv,67,86,1.0,0,0.863,0.985,0.767,66,1,20,30,86,0.349
ext_nemotron-3-nano-30b_cot_basic_ctexts_s42_run4_20260803_224514.csv,67,86,1.0,0,0.863,0.985,0.767,66,1,20,31,86,0.36
ext_nemotron-3-nano-30b_naive_ctexts_s42_run4_20260803_222352.csv,65,86,1.0,0,0.861,1.0,0.756,65,0,21,11,86,0.128
ext_gemma4-31b_cot_structured_ctexts_s42_run2_20260804_105508.csv,65,86,1.0,0,0.861,1.0,0.756,65,0,21,30,86,0.349
ext_nemotron-3-nano-30b_self_consistency_ctexts_s42_run2_20260803_230935.csv,64,86,1.0,0,0.853,1.0,0.744,64,0,22,20,86,0.233
ext_gemma4-31b_self_consistency_ctexts_s42_run3_20260804_113242.csv,63,86,1.0,0,0.846,1.0,0.733,63,0,23,30,86,0.349
