ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,OperationalRule,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW MUST be between 112 and 128 L/min,Inspect and notify maintenance,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,few_shot_static,0,deepseek-r1-distill-qwen-7b_few_shot_static_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP exceeds 26.0°C,Reduce speed by 10% and notify QC,CRITICAL,,26.0,18.0,15.0,C,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,few_shot_static,0,deepseek-r1-distill-qwen-7b_few_shot_static_run1,1,False
RULE-ST01-03,OperationalRule,ST01_FILLING,PRS,,PRS drop below 3.3 bar,Inspect inlet valve within 5 min,Mandatory,,,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,few_shot_static,0,deepseek-r1-distill-qwen-7b_few_shot_static_run1,1,False
RULE-ST02-01,OperationalRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP must be between 175.0 and 195.0°C,Maintain temperature within range,MANDATORY,,,,,°C,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,few_shot_static,0,deepseek-r1-distill-qwen-7b_few_shot_static_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,TMP,TMP exceeds 210.0°C,"Emergency stop ST02, ST03, ST04; halt production",CRITICAL,,,,210.0,°C,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,few_shot_static,0,deepseek-r1-distill-qwen-7b_few_shot_static_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,CUR,CUR drift >1.5 A above nominal for >5 min,Schedule maintenance,CRITICAL,,,,1.5,A,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,few_shot_static,0,deepseek-r1-distill-qwen-7b_few_shot_static_run1,1,False
RULE-ST02-04,ThresholdRule,ST02_SEALING,CUR,CUR,CUR drift correlates with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD,CRITICAL,,,,1.5,A,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,few_shot_static,0,deepseek-r1-distill-qwen-7b_few_shot_static_run1,1,False
RULE-ST03-01,OperationalRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN between 1.8 and 2.6 N,Maintain sensor reading within range,MANDATORY,,,,,N,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,few_shot_static,0,deepseek-r1-distill-qwen-7b_few_shot_static_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,CNT below 110 pcs/min,Check for label jam; halt if <100 (CRITICAL),CRITICAL,,,110.0,100.0,pcs/min,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,few_shot_static,0,deepseek-r1-distill-qwen-7b_few_shot_static_run1,1,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,,TEN STUCK >10 consecutive samples,Sensor failure; halt production,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,few_shot_static,0,deepseek-r1-distill-qwen-7b_few_shot_static_run1,1,False
