ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,Flow Rate,112 <= FLW <= 128,Maintain flow,INFO,128,,,112,L/min,SOP_001_OperatingProcedures.txt,gemma4:31b,graph_informed,0,gemma4-31b_graph_informed_ctexts_s42_run3,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,TMP > 26,reduce speed by 10% and notify QC,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,graph_informed,0,gemma4-31b_graph_informed_ctexts_s42_run3,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,PRS < 3.3,inspect inlet valve within 5 min,WARNING,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gemma4:31b,graph_informed,0,gemma4-31b_graph_informed_ctexts_s42_run3,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,175 <= TMP <= 195,Maintain temperature,INFO,195,,,175,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,graph_informed,0,gemma4-31b_graph_informed_ctexts_s42_run3,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,TMP > 210,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,graph_informed,0,gemma4-31b_graph_informed_ctexts_s42_run3,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,Current,CUR increase > 1.5A for > 5min,schedule maintenance,WARNING,,1.5,,,A,SOP_001_OperatingProcedures.txt,gemma4:31b,graph_informed,0,gemma4-31b_graph_informed_ctexts_s42_run3,1,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,ST02_SEALING_CUR,Current,ST02_SEALING_CUR triggers WARNING,Monitor ST04_PACKAGING-SPD,WARNING,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,graph_informed,0,gemma4-31b_graph_informed_ctexts_s42_run3,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,1.8 <= TEN <= 2.6,Maintain tension,INFO,2.6,,,1.8,N,SOP_001_OperatingProcedures.txt,gemma4:31b,graph_informed,0,gemma4-31b_graph_informed_ctexts_s42_run3,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,Count,CNT < 100,halt,CRITICAL,,,110,100,pcs/min,SOP_001_OperatingProcedures.txt,gemma4:31b,graph_informed,0,gemma4-31b_graph_informed_ctexts_s42_run3,1,False
RULE-ST03-03,SensorFailureRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,TEN STUCK > 10 samples,sensor failure alert,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,graph_informed,0,gemma4-31b_graph_informed_ctexts_s42_run3,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,VIB > 0.20,schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,gemma4:31b,graph_informed,0,gemma4-31b_graph_informed_ctexts_s42_run3,1,False
