config,on_delay_warning_min,gap_merge_min,plausibility_cutoff,calibration_window_h,drift_baseline_ratio,drift_min_ref_samples,rules_quarantined,quarantined_rule_ids,anomaly_events_total,anomaly_tp,anomaly_fn_gap,anomaly_fp,anomaly_recall,anomaly_recall_ci95_lo,anomaly_recall_ci95_hi,anomaly_precision,anomaly_f1,total_events_detected
baseline (shipped defaults),5,15,0.5,,2,10,4,RULE-ST01-03|RULE-ST03-02|RULE-THR-CHM01_CHEMICALSTORAGE-HUM-CRIT|RULE-WRH01-03,14,13,1,2,0.929,0.685,0.987,0.867,0.897,15
on_delay=0min (no confirmation delay),0,15,0.5,,2,10,4,RULE-ST01-03|RULE-ST03-02|RULE-THR-CHM01_CHEMICALSTORAGE-HUM-CRIT|RULE-WRH01-03,14,13,1,3,0.929,0.685,0.987,0.812,0.867,16
on_delay=10min (2x shipped),10,15,0.5,,2,10,4,RULE-ST01-03|RULE-ST03-02|RULE-THR-CHM01_CHEMICALSTORAGE-HUM-CRIT|RULE-WRH01-03,14,13,1,2,0.929,0.685,0.987,0.867,0.897,15
merge=5min (1/3 shipped),5,5,0.5,,2,10,4,RULE-ST01-03|RULE-ST03-02|RULE-THR-CHM01_CHEMICALSTORAGE-HUM-CRIT|RULE-WRH01-03,14,13,1,2,0.929,0.685,0.987,0.867,0.897,16
merge=30min (2x shipped),5,30,0.5,,2,10,4,RULE-ST01-03|RULE-ST03-02|RULE-THR-CHM01_CHEMICALSTORAGE-HUM-CRIT|RULE-WRH01-03,14,13,1,0,0.929,0.685,0.987,1.0,0.963,13
plausibility=off (no quarantine),5,15,2.0,,2,10,0,,14,13,1,60,0.929,0.685,0.987,0.178,0.299,73
plausibility=0.7 (looser cutoff),5,15,0.7,,2,10,3,RULE-ST01-03|RULE-ST03-02|RULE-WRH01-03,14,13,1,59,0.929,0.685,0.987,0.181,0.302,72
plausibility=0.3 (stricter cutoff),5,15,0.3,,2,10,4,RULE-ST01-03|RULE-ST03-02|RULE-THR-CHM01_CHEMICALSTORAGE-HUM-CRIT|RULE-WRH01-03,14,13,1,2,0.929,0.685,0.987,0.867,0.897,15
plausibility=calibration-8h (deployable),5,15,0.5,8,2,10,4,RULE-ST01-03|RULE-ST03-02|RULE-THR-CHM01_CHEMICALSTORAGE-HUM-CRIT|RULE-WRH01-03,14,13,1,2,0.929,0.685,0.987,0.867,0.897,15
drift_ratio=1 (baseline = 1x window),5,15,0.5,,1,10,4,RULE-ST01-03|RULE-ST03-02|RULE-THR-CHM01_CHEMICALSTORAGE-HUM-CRIT|RULE-WRH01-03,14,13,1,3,0.929,0.685,0.987,0.812,0.867,16
drift_ratio=3 (baseline = 3x window),5,15,0.5,,3,10,4,RULE-ST01-03|RULE-ST03-02|RULE-THR-CHM01_CHEMICALSTORAGE-HUM-CRIT|RULE-WRH01-03,14,13,1,1,0.929,0.685,0.987,0.929,0.929,14
drift_min_ref=2 (almost no guard),5,15,0.5,,2,2,4,RULE-ST01-03|RULE-ST03-02|RULE-THR-CHM01_CHEMICALSTORAGE-HUM-CRIT|RULE-WRH01-03,14,13,1,2,0.929,0.685,0.987,0.867,0.897,15
drift_min_ref=40 (4x shipped),5,15,0.5,,2,40,4,RULE-ST01-03|RULE-ST03-02|RULE-THR-CHM01_CHEMICALSTORAGE-HUM-CRIT|RULE-WRH01-03,14,13,1,2,0.929,0.685,0.987,0.867,0.897,15
