metric,value
anomaly_events_total,14
anomaly_tp,13
anomaly_fn_gap,1
anomaly_fp,2
anomaly_recall,0.929
anomaly_recall_ci95_lo,0.685
anomaly_recall_ci95_hi,0.987
anomaly_precision,0.867
anomaly_f1,0.897
anomaly_recall_excl_gt0009,1.0
anomaly_excl_gt0009_ci95_lo,0.772
anomaly_excl_gt0009_ci95_hi,1.0
gt0009_binary,NOT_ATTEMPTED (no fusion detector)
anomaly_dev_total,9
anomaly_dev_covered,8
anomaly_test_total,5
anomaly_test_covered,5
maintenance_total,8
maintenance_covered,6
phase2_total_events,22
phase2_covered,19
phase2_fraction,0.864
phase2_threshold,0.7
phase2_pass,True
rules_quarantined,4
total_readings_streamed,211200
total_alarms_raised,1153
total_events_detected,15
