ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW between 112 and 128 L/min,,,,128,112,,L/min,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP > 26°C,Reduce speed by 10% and notify QC,,,26,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS < 3.3 bar,Inspect inlet valve within 5 min,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP between 175 and 195°C,,,,195,175,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP > 210°C,"Emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR > 1.5 A above nominal sustained > 5 min,Schedule maintenance,,,1.5,,,A,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-ST02-04,NonThresholdRule,ST02_SEALING,,,"When ST02_SEALING_CUR triggers WARNING, monitor ST04_PACKAGING_SPD",Verify condition,,,,,,,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN between 1.8 and 2.6 N,,,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,CNT below 110 pcs/min (check jam). Below 100 (CRITICAL): halt,Check for label jam / Halt for critical,CRITICAL,,110,,100,pcs/min,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-ST03-03,NonThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN STUCK >10 consecutive samples,Sensor failure,,,,,,,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > 0.20 mm/s,Schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > 0.35 mm/s,Emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,SPD drops below 1.00 m/s without operator command,Verify RULE-ST02-04,,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP > 25°C,,,,25,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP > 28°C,Automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,TMP > 12°C (CRITICAL) - notify QC and quarantine batch,Notify QC / Quarantine batch,CRITICAL,12,,8,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,HUM,HUM > 85%RH,Inspect door seals and activate dehumidifier,,,85,,,%RH,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,TMP between 10 and 20°C,,,,20,10,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,reflexion,2,gpt-oss-20b_reflexion_s42_run1,2,False
