ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,MUST be maintained between,,,,128,112,,L/min,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,> 26°C,reduce speed by 10% and notify QC,Warning,,26,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,< 3.3 bar,inspect inlet valve within 5 min,Critical,,,3.3,,bar,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,MUST remain between,,,,195,175,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,> 210°C,"emergency stop ST02, ST03, ST04",Critical,210,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,>1.5 A above nominal sustained >5 min,schedule maintenance,Warning,,1.5,,,A,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,MUST be between,,,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,< 110 pcs/min,check for label jam,Warning,,,110,100,pcs/min,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST03-03,SensorFailureRule,ST03_LABELLING,TEN,Tension,STUCK >10 consecutive samples,sensor failure,Critical,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> 0.20 mm/s,schedule maintenance within 24 h,Warning,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> 0.35 mm/s,emergency stop; inspect bearings,Critical,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST04-03,DependencyRule,ST04_PACKAGING,SPD,Speed,< 1.00 m/s without operator command,verify RULE-ST02-04,,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,MUST NOT exceed,,,25,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,> 28°C,automatic controlled shutdown of all PLC nodes,Critical,28,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,MUST remain between,,,,8,0.5,12,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,> 85%RH,inspect door seals and activate dehumidifier,Warning,,85,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,MUST remain between,,,25,20,10,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,> 50%RH,activate desiccant system if HUM >45%RH,Warning,50,,45,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-CHM01-03,AccessControlRule,CHM01_CHEMICALSTORAGE,UNAUTHORIZED_ACCESS,Access,,escalate within 2 minutes,Critical,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,MUST remain between,,,,26,18,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,Humidity,> 65%RH,activate dehumidifier,Warning,75,,65,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,> 26°C,check ventilation system,Warning,,26,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,> 70%RH,inspect drainage and activate ventilation,Warning,,70,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST01-01,ThresholdRule,ST01_FILLING,TMP,Temperature,,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,PRS,Pressure,,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,FLW,Flow,,Inspect and notify maintenance,CRITICAL,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,PRS,Pressure,,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,SPD,Speed,,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,TEN,Tension,,Inspect and notify maintenance,CRITICAL,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,CNT,Count,,E-STOP labelling; inspect label path,CRITICAL,140,130,110,100,pcs/min,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,,E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,CUR,Current,,Inspect and notify maintenance,CRITICAL,11,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,SPD,Speed,,Inspect and notify maintenance,CRITICAL,1.6,1.4,1,0.85,m/s,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,,Activate backup cooling; prepare controlled PLC,CRITICAL,28,25,18,16,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,HUM,Humidity,,Inspect and notify maintenance,CRITICAL,70,60,30,25,%RH,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,,Activate backup refrigeration; notify,CRITICAL,12,8,0.5,-1,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,,Inspect and notify maintenance,CRITICAL,90,85,60,55,%RH,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,,Activate emergency ventilation; notify safety officer,CRITICAL,25,20,10,5,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,,Activate desiccant system; inspect storage containers,CRITICAL,60,50,20,15,%RH,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,Humidity,,Suspend experiments; inspect HVAC system,CRITICAL,75,65,35,25,%RH,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,,Inspect and notify maintenance,CRITICAL,30,26,17,14,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,naive,0,ministral-3-14b_naive_s42_run1,1,False
