ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,nominalMax,nominalMin,notes,thresholdType,timeWindow
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,Flow,MUST remain within operational bounds (112–128 L/min),,,128.0,,112.0,,L/min,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,exceeds 26°C (WARNING),reduce speed by 10% and notify QC,Warning,,26.0,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,drops below 3.3 bar (CRITICAL),inspect inlet valve within 5 min,Critical,,,3.3,,bar,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,MUST remain within 175–195°C (operational range),,,195.0,,175.0,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,> 210°C (CRITICAL),"emergency stop ST02, ST03, ST04",Critical,210.0,,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,Current,increase >1.5 A above nominal (sustained >5 min),schedule maintenance,Warning,,1.5,,,A,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-ST02-04,DependencyRule,ST02_SEALING,ST02_SEALING_CUR,Current,CURRENT drift triggers WARNING → monitor ST04_PACKAGING speed reduction,Verify ST04_PACKAGING-SPD alignment with ST02_CUR,Warning,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,MUST remain within 1.8–2.6 N,,,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,Count,< 110 pcs/min (WARNING) → check for label jam; < 100 pcs/min (CRITICAL) → halt,halt,Critical,,110.0,100.0,,pcs/min,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-ST03-03,FaultDetectionRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,STUCK >10 consecutive samples (sensor failure),"declare sensor failure, initiate calibration",Critical,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,> 0.20 mm/s (WARNING),schedule maintenance within 24 h,Warning,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,> 0.35 mm/s (CRITICAL),emergency stop; inspect bearings,Critical,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
RULE-ST04-03,DependencyRule,ST04_PACKAGING,ST04_PACKAGING_SPD,Speed,drops below 1.00 m/s without operator command (unexpected slowdown),investigate ST02_SEALING current drift (per RULE-ST02-04),Warning,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion,2,ministral-3-14b_reflexion_s42_run1,2,False,,,,,
