ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-CHM01-04,ThresholdRule,CHM01_CHEMICALSTORAGE,,,,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST02-04,ThresholdRule,ST02_SEALING,CUR,current,CUR > 2 A (sustained) - ST02_SEALING-CUR correlates with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,flow rate,112 <= FLW <= 128 L/min,,,128,0,0,0,L/min,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,tension,10 consecutive samples of TEN STUCK. sensor failure.,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,temperature,175°C <= TMP <= 195°C,,,0,0,0,0,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,temperature,26°C < TMP (CRITICAL) - check ventilation system.,,,0,0,0,0,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,SPD,speed,1.00 m/s <= SPD < 2.00 m/s without operator command - verify RULE-ST02-04.,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,humidity,70%RH <= HUM < 90%RH (CRITICAL) - inspect drainage and activate ventilation.,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,temperature,28°C < TMP (CRITICAL) - automatic controlled shutdown of all PLC nodes.,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,humidity,85%RH <= HUM < 90%RH (CRITICAL) - inspect door seals and activate dehumidifier.,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,temperature,25°C < TMP <= 28°C (CRITICAL) - automatic controlled shutdown of all PLC nodes.,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,pressure,3.3 bar < PRS <= 3.5 bar,,,0,0,0,0,bar,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,temperature,175°C <= TMP <= 195°C,,,195,0,0,0,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,humidity,50%RH <= HUM < 45%RH (CRITICAL) - activate desiccant system if HUM > 45%RH.,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,humidity,65%RH <= HUM < 75%RH (CRITICAL) - suspend sensitive experiments and inspect HVAC system.,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,vibration,0.20 mm/s <= VIB < 0.35 mm/s (WARNING),schedule maintenance within 24 h.,,0,0,0,0,mm/s,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,temperature,10°C <= TMP <= 20°C,,,25,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,count,110 pcs/min <= CNT < 100 (CRITICAL),check for label jam. Below 100: halt.,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,temperature,0.5°C <= TMP <= 8°C,,,12,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,temperature,26°C < TMP <= 195°C,reduce speed by 10% and notify QC,,0,195,26,0,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,tension,1.8 N <= TEN <= 2.6 N,,,2.6,0,0,0,N,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
ST01_FILLING Thresholds,,ST01 FILLING,TMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,,30,26,18,15,,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
ST02_SEALING,,ST02,TMP,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,E-STOP ST02/ST03/ST04; inspect element,,210,195,175,165,,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
SRV01_SERVERROOM,,SRV01,TMP,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Activate backup cooling; prepare controlled PLC,,28,25,18,16,,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
WRH01_WAREHOUSE,,WRH01,TMP,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Activate backup refrigeration; notify,,12,8,0.5,-1,,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
