ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
ST02_2,ThresholdRule,PRS,PRS,bar,"{'CRIT_LO': '4.2', 'WARN_LO': '4.6'}",Inspect and notify maintenance,5,6.2,5.7,,,bar,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
4,CRIT_LO,TMP,TMP,°C,165.0,E-STOP ST02/ST03/ST04; inspect element,,,,,165.0,°C,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
1,CRIT_HI,TMP,TMP,°C,30.0,Inspect and notify maintenance,,30.0,,,,°C,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
ST01_3,ThresholdRule,FLW,FLW,L/min,"{'CRIT_LO': '105', 'WARN_LO': '112'}",Inspect and notify maintenance,5,135,128,,,L/min,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
ST02_3,ThresholdRule,CUR,CUR,A,"{'CRIT_LO': '9.5', 'WARN_LO': '11'}",E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),5,15,13.5,,,A,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
10,CRIT_HI,CUR,CUR,A,15.0,Inspect and notify maintenance,,15.0,,,,A,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
25,CRIT_LO,TMP,TMP,°C,-1.0,Activate backup cooling; prepare controlled PLC,,,,,-1.0,°C,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
15,CRIT_HI,HUM,HUM,%RH,85.0,Inspect and notify maintenance,,85.0,,,,%RH,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
14,CRIT_LO,TMP,TMP,°C,-1.0,Activate backup refrigeration; notify,,,,,-1.0,°C,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
MAINT-02,Predictive Maintenance,ST02_SEALING,CUR,,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
MAINT-03,Predictive Maintenance,ST03_LABELLING,TEN,,TEN STUCK >10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
MAINT-04,Predictive Maintenance,ST01.FILLING,PRS,,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
MAINT-01,HIGH,ST04_PACKAGING,VIB,,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing HIGH,HIGH,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
MAINT-07,CRITICAL,CHM01_CHEMICALSTORAGE,TMP,,TMP >20°C for >10 min,Emergency ventilation; notify CRITICAL | safety,CRITICAL,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
MAINT-08,HIGH,RND01_RDLAB,HUM,,HUM DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC HIGH,HIGH,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
MAINT-06,,WRH01_WAREHOUSE,TMP,,TMP DRIFT >2°C over 2 h,Inspect compressor; notify QCRITICAL,QCRITICAL,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
MAINT-05,CRITICAL,SRV01_SERVERROOM,TMP,,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,self_consistency,2,deepseek-r1-distill-qwen-7b_self_consistency_run1,3,False
