ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,FlowRate,FLW must be maintained between 112 and 128 L/min,,,,128,112,,L/min,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,TMP exceeds 26°C,reduce speed by 10% and notify QC,,,26,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,PRS drop below 3.3 bar,inspect inlet valve within 5 min,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,TMP must remain between 175°C and 195°C,,,,195,175,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,TMP > 210°C,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,CUR increase >1.5 A above nominal,schedule maintenance,,,1.5,,,A,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-ST02-04,MonitoringRule,ST02_SEALING,CUR,Current,CUR drift at ST02_SEALING correlates with speed reduction at ST04_PACKAGING due to shared electrical coupling,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,TEN must be between 1.8 and 2.6 N,,,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,CNT below 110 pcs/min and below 100 (CRITICAL),check for label jam if CNT<110; halt if CNT<100,,,110,,100,pcs/min,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-ST03-03,ActionRule,ST03_LABELLING,TEN,Tension,TEN STUCK >10 consecutive samples,sensor failure,,,,,,,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,VIB > 0.20 mm/s,schedule maintenance within 24 h,WARNING,,0.2,,,mm/s,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,VIB > 0.35 mm/s,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,SPD,Speed,SPD drops below 1.00 m/s without operator command,verify RULE-ST02-04,,,,1.0,,m/s,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,TMP must not exceed 25°C,,,,25,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,TMP > 28°C,automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,TMP remains between 0.5°C and 8°C; critical above 12°C,notify QC and quarantine batch if TMP > 12°C,,12,8,0.5,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,HUM above 85%RH,inspect door seals and activate dehumidifier,,,85,,,%RH,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,TMP remains between 10°C and 20°C; critical above 25°C,activate emergency ventilation and notify safety officer if TMP > 25°C,,25,20,10,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,HUM must not exceed 50%RH; activate desiccant if HUM >45%RH,activate desiccant system if HUM >45%RH,,50,45,,,%RH,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-CHM01-03,AccessRule,CHM01_CHEMICALSTORAGE,,,Only personnel with hazmat training are authorised to enter; unauthorized access escalated within 2 minutes,escalate within 2 minutes,,,,,,,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,TMP remains between 18°C and 26°C for experimental validity,,,,26,18,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,Humidity,HUM drift above 65%RH activates dehumidifier; above 75%RH (CRITICAL) suspends experiments,activate dehumidifier when HUM>65%; suspend experiments and inspect HVAC when HUM>75%,,75,65,,,%RH,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,TMP above 26°C,check ventilation system,,,26,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,HUM above 70%RH,inspect drainage and activate ventilation,,,70,,,%RH,SOP_001_OperatingProcedures.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
R1,ThresholdRule,ST01_FILLING,TMP,TMP,,Inspect and notify maintenance,,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,gpt-oss:20b,naive,0,gpt-oss-20b_naive_s42_run1,1,False
