ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,,ST01_FILLING,,,FLW,MUST be maintained between 112 and 128 L/min.,,,,,,L/min,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
RULE-ST01-02,,ST01_FILLING,,,TMP,reduce speed by 10% and notify QC if exceeds 26°C.,,,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
RULE-ST01-03,,ST01_FILLING,,,PRS,inspect inlet valve within 5 min if drop below 3.3 bar.,,,,,,bar,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
RULE-ST02-01,,ST02_SEALING,,,TMP,MUST remain between 175°C and 195°C.,,,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
RULE-ST02-02,,ST02_SEALING,,,TMP,"emergency stop ST02, ST03, ST04 if exceeds 210°C.",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
RULE-ST02-03,,ST02_SEALING,,,CUR,schedule maintenance if increase >1.5 A above nominal sustained >5 min.,,,,,,A,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
RULE-ST02-04,,ST02_SEALING,,,CUR,monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
RULE-ST03-01,,ST03_LABELLING,,,TEN,MUST be between 1.8 and 2.6 N.,,,,,,N,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
,,ST01_FILLING,TMP,Temperature,CRITICAL Response,Inspect and notify maintenance,,,,,15,°C,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
,,ST01_FILLING,PRS,Pressure,CRITICAL Response,Inspect and notify maintenance,,,,,3,bar,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
,,ST01_FILLING,FLW,Flow,CRITICAL Response,Inspect and notify maintenance,,,,,105,L/min,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
,,ST02_SEALING,TMP,Temperature,CRITICAL Response,E-STOP ST02/ST03/ST04; inspect element,,,,,165,°C,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
,,ST02_SEALING,PRS,Pressure,CRITICAL Response,Inspect and notify maintenance,,,,,4.2,bar,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
,,ST02_SEALING,CUR,Current,CRITICAL Response,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),,,,,9.5,A,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
,,ST03_LABELLING,SPD,Speed,CRITICAL Response,Inspect and notify maintenance,,,,,0.65,m/s,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,cot_basic,1,qwen2_5-7b-instruct_cot_basic_run1,1,False
