ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,between 112 and 128,,,128,128,112,112,L/min,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,cot_structured,1,qwen-qwen3-4b-2507_cot_structured_s42_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,exceeds 26°C,reduce speed by 10% and notify QC,,,26,,,°C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,cot_structured,1,qwen-qwen3-4b-2507_cot_structured_s42_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,drops below 3.3 bar,inspect inlet valve within 5 min,,,,3.3,3.3,bar,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,cot_structured,1,qwen-qwen3-4b-2507_cot_structured_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,between 175°C and 195°C,,,195,195,175,175,°C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,cot_structured,1,qwen-qwen3-4b-2507_cot_structured_s42_run1,1,False
RULE-ST02-02,CriticalThresholdRule,ST02_SEALING,TMP,Temperature,exceeds 210°C,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,cot_structured,1,qwen-qwen3-4b-2507_cot_structured_s42_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,increase >1.5 A above nominal sustained >5 min,schedule maintenance,,1.5,1.5,,,A,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,cot_structured,1,qwen-qwen3-4b-2507_cot_structured_s42_run1,1,False
RULE-ST02-04,DependencyRule,ST02_SEALING,CUR,Current,drift at ST02_SEALING correlates with speed reduction at ST04_PACKAGING,monitor ST04_PACKAGING-SPD when ST02_SEALING-CUR triggers WARNING,,,,,,,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,cot_structured,1,qwen-qwen3-4b-2507_cot_structured_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,between 1.8 and 2.6 N,,,2.6,2.6,1.8,1.8,N,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,cot_structured,1,qwen-qwen3-4b-2507_cot_structured_s42_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,below 110 pcs/min,check for label jam,CRITICAL,,110,110,100,pcs/min,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,cot_structured,1,qwen-qwen3-4b-2507_cot_structured_s42_run1,1,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,Tension,stuck >10 consecutive samples,sensor failure,,,,,,,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,cot_structured,1,qwen-qwen3-4b-2507_cot_structured_s42_run1,1,False
