item,gt_text_compared,pred_text_compared,human_same_rule
P001,3.1 | Pre-Startup Checks | All safety interlocks tested and enabled with no active trips.,PreStartupRequirement | All safety interlocks tested and enabled with no active trips,
P002,NormalOperatingLimit | DGT-102 | Pressure | shall be within bounds | -5.0 | 10.0 | mbar,OperatingLimit | Secondary Digester 2 | Same overpressure response as DGT-101 via VLV-804. | +10 | -5 | Pressure | DGT-102 | mbar,
P003,AlarmControlResponse | DGT-102 | Temperature | <35 C continuously for >2 h | DCS opens heating valve VLV-302 | Warning | 35.0 | C,OperatingLimit | Secondary Digester 2 | Identical response: VLV-302 opens if temp <35C for >2 h. | 42 | 35 | Temperature | DGT-102 | C,
P004,main feed breaker | tripped immediately if catastrophic seal failure occurs | [OP-SD-001] The main feed breaker must be tripped immediately if catastrophic seal failure occurs.,EmergencyShutdownRule | The main feed breaker must be tripped immediately if catastrophic seal failure occurs.,
P005,"permeate conductivity | execute shutdown sequence [OP-SD-001] | 20 minutes | [OP-ST-004] If permeate conductivity fails to drop below baseline within 20 minutes, immediately execute the shutdown sequence mandated by [OP-SD-001].","StartupRequirement | If permeate conductivity fails to drop below baseline within 20 minutes, immediately execute the shutdown sequence mandated by [OP-SD-001]",
P006,anti-scalant dosing pump | energized and verified active prior to raw water valve actuation | [OP-ST-002] The anti-scalant dosing pump must be energized and verified active prior to raw water valve actuation.,StartupRequirement | The anti-scalant dosing pump must be energized and verified active prior to raw water valve actuation.,
P007,Temperature | degC | 15.0 | 35.0 | Adjust VFD speed | 60 mins | FQ-03 | Temperature | degC | 15.0 | 35.0 | Adjust VFD speed | 60 mins,WaterQualityLimit | 35.0 | Temperature | degC | 15.0 | FQ-03 | Adjust VFD speed | 60 mins,
P008,anti-scalant dosing pump | energized and verified active prior to raw water valve actuation | [OP-ST-002] The anti-scalant dosing pump must be energized and verified active prior to raw water valve actuation.,StartupSequenceRequirement | energized and verified active prior to raw water valve actuation,
P009,OperationalRule | WRH01_WAREHOUSE | WRH01_WAREHOUSE_TMP | TMP | TMP CRITICAL above 12°C | Notify QC and quarantine batch | CRITICAL | 12.0 | 8.0 | -1.0 | 0.5 | °C,StationDependency | Production Area | ST02_SEALING | ST01 | Feeds ST03; thermal fault → ST04 speed reduction,
P010,"4.4 | Startup Sequence | When converter Bed 1 inlet temperature exceeds 400°C, slowly raise sulfur feed to normal range while adjusting air flow to maintain SO2 concentration at 10.0-10.5% vol. | 10.0-10.5 | % vol | Bed 1 inlet temp >400°C",StartupProcedure | When converter Bed 1 inlet temperature exceeds 400°C | slowly raise sulfur feed to normal range while adjusting air flow to maintain SO2 concentration at 10.0-10.5% vol,
