ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,type
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,between,maintain,ALERT,128,128,112,112,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ST01-02,DynamicAdjustmentRule,ST01_FILLING,TMP,Temperature,exceeds 26,reduce speed by 10% and notify QC,WARN,26,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,drop below,inspect inlet valve within 5 min,CRITICAL,,,,3.3,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,between,remain,ALERT,195,,,175,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ST02-02,EmergencyStopRule,ST02_SEALING,TMP,Temperature,exceeds 210,emergency stop ST02 ST03 ST04,CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ST02-03,CausalDependenceAlertRule,ST02_SEALING,CUR,Current,increase greater than 1.5 A above nominal sustained greater than 5 min,schedule maintenance,WARN,1.5,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ST02-04,CausalAlertRule,ST02_SEALING,CUR,Current,drift correlates with speed reduction at ST04_PACKAGING,monitor ST04_PACKAGING-SPD,WARN,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,between,maintain,ALERT,2.6,,,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ST03-02,ThresholdCritRule,ST03_LABELLING,CNT,Count,below,check for label jam,WARN,100,110,,,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ST03-03,PatternFailureRule,ST03_LABELLING,TEN,Tension,>10 consecutive samples stuck,sensor failure,CRITICAL,,,,10,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,greater than,schedule maintenance within 24 h,WARN,0.20,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ST04-02,EmergencyStopRule,ST04_PACKAGING,VIB,Vibration,greater than 0.35,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-ST04-03,CausalAlertRule,ST04_PACKAGING,SPD,Speed,drops below 1.00 without operator command,verify RULE-ST02-04,WARN,1.00,,,,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,must not exceed,maintain,ALERT,25,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run4,1,False,
