ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,L/min,FLW maintained between 112 and 128 L/min,,,,128,112,,L/min,SOP_001_OperatingProcedures.txt,gpt-oss:20b,pre_act,1,gpt-oss-20b_pre_act_s42_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,°C,TMP exceeds 26°C then reduce speed by 10% and notify QC,reduce speed by 10% and notify QC,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,pre_act,1,gpt-oss-20b_pre_act_s42_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,bar,PRS drop below 3.3 bar,inspect inlet valve within 5 min,WARNING,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gpt-oss:20b,pre_act,1,gpt-oss-20b_pre_act_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,°C,TMP maintained between 175°C and 195°C,,,,195,175,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,pre_act,1,gpt-oss-20b_pre_act_s42_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,°C,TMP exceeds 210°C (CRITICAL),"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,pre_act,1,gpt-oss-20b_pre_act_s42_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,A,CUR increase > 1.5 A above nominal sustained > 5 min,schedule maintenance,WARNING,,1.5,,,A,SOP_001_OperatingProcedures.txt,gpt-oss:20b,pre_act,1,gpt-oss-20b_pre_act_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,N,TEN maintained between 1.8 and 2.6 N,,,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,gpt-oss:20b,pre_act,1,gpt-oss-20b_pre_act_s42_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,pcs/min,CNT below 110 pcs/min; below 100 pcs/min (CRITICAL),check for label jam; halt if below 100,CRITICAL,,,110,100,pcs/min,SOP_001_OperatingProcedures.txt,gpt-oss:20b,pre_act,1,gpt-oss-20b_pre_act_s42_run1,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,mm/s,VIB exceeds 0.20 mm/s (WARNING),schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,gpt-oss:20b,pre_act,1,gpt-oss-20b_pre_act_s42_run1,1,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,mm/s,VIB exceeds 0.35 mm/s (CRITICAL),emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gpt-oss:20b,pre_act,1,gpt-oss-20b_pre_act_s42_run1,1,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,SPD,m/s,SPD drops below 1.00 m/s without operator command,verify RULE-ST02-04,WARNING,,,1.0,,m/s,SOP_001_OperatingProcedures.txt,gpt-oss:20b,pre_act,1,gpt-oss-20b_pre_act_s42_run1,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,°C,TMP must not exceed 25°C,,WARNING,,25,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,pre_act,1,gpt-oss-20b_pre_act_s42_run1,1,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,°C,TMP exceeds 28°C (CRITICAL),automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,pre_act,1,gpt-oss-20b_pre_act_s42_run1,1,False
