ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,warnHiiii
ST01-1,ThresholdRule,ST01_FILLING,FLW,flow,FLW between 112 and 128 L/min,maintain FLW within 112-128 L/min,warning,128,128,112,112,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
ST01-2,ThresholdRule,ST01_FILLING,TMP,temperature,TMP exceeds 26°C,reduce speed by 10% and notify QC,warning,26,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
ST01-3,ThresholdRule,ST01_FILLING,PRS,pressure,PRS drop below 3.3 bar,inspect inlet valve within 5 min,warning,,,3.3,3.3,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
ST02-1,ThresholdRule,ST02_SEALING,TMP,temperature,TMP between 175°C and 195°C,keep TMP within 175-195°C,warning,195,195,175,175,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
ST02-2,FaultRule,ST02_SEALING,TMP,temperature,TMP > 210°C,"emergency stop ST02, ST03, ST04",critical,210,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
ST02-3,TrendRule,ST02_SEALING,CUR,current,CUR increase >1.5 A above nominal sustained >5 min,schedule maintenance,warning,,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
ST02-4,CorrelationRule,ST02_SEALING,CUR,current,CUR drift correlates with ST04_PACKAGING-SPD speed reduction,monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,warning,,,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
ST03-1,ThresholdRule,ST03_LABELLING,TEN,tension,TEN between 1.8 and 2.6 N,maintain TEN within 1.8-2.6 N,warning,2.6,2.6,1.8,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
ST03-2,ThresholdRule,ST03_LABELLING,CNT,count,CNT below 110 pcs/min,check for label jam; below 100 pcs/min (CRITICAL) halt production,warning,100,110,,100,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
ST03-3,FaultRule,ST03_LABELLING,TEN_STUCK,stuck samples,TEN STUCK >10 consecutive samples,sensor failure,critical,10,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
ST04-1,ThresholdRule,ST04_PACKAGING,VIB,vibration,VIB > 0.20 mm/s (WARNING),schedule maintenance within 24 h,warning,0.20,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
ST04-2,FaultRule,ST04_PACKAGING,VIB,vibration,VIB > 0.35 mm/s (CRITICAL),emergency stop; inspect bearings,critical,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
ST04-3,FaultRule,ST04_PACKAGING,SPD,speed,SPD drops below 1.00 m/s without operator command,verify RULE-ST02-04,warning,,,1.00,1.00,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
SRV01-1,ThresholdRule,SRV01_SERVERROOM,TMP,temperature,TMP between 0°C and 25°C,keep TMP ≤ 25°C,warning,25,25,0,0,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
SRV01-2,FaultRule,SRV01_SERVERROOM,TMP,temperature,TMP > 28°C,automatic controlled shutdown of all PLC nodes,critical,28,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
WRH01-1,ThresholdRule,WRH01_WAREHOUSE,TMP,temperature,TMP between 0.5°C and 8°C,maintain TMP within 0.5-8°C; CRITICAL above 12°C,warning,12,8,0.5,0.5,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run5,1,False,
