ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
1,MeasurementRule,ST01_FILLING,FLW,,between,maintenance,Medium,,,,3.3,bar,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
2,ThresholdRule,ST01_FILLING,TMP,,> 26°C,QC notification and speed reduction,,,,,110,pcs/min,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
3,ThresholdRule,ST02_SEALING,TMP,,> 210°C (CRITICAL),Emergency stop; halt production,Critical,210,,,,°C,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
4,MeasurementRule,ST03_LABELLING,TEN,,between,Inspection within 5 min,Low,,,110,,pcs/min,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
5,ThresholdRule,ST04_PACKAGING,VIB,,> 0.35 mm/s (CRITICAL),Schedule maintenance; inspect bearings,Critical,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
6,MeasurementRule,SRV01_SERVERROOM,TMP,,<= 25°C,Maintain temperature within range,Low,28,,,,°C,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
7,ThresholdRule,WRH01_WAREHOUSE,TMP,,<= 8°C (CRITICAL),Halt production; notify QC and quarantine batch,Critical,85,,,,%,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
8,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,,<= 50%RH (CRITICAL),Activate dehumidifier; notify safety officer immediately,Critical,50,,,,%,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
9,ThresholdRule,RND01_RDLAB,HUM,,> 65%RH (CRITICAL),Suspense experiments; inspect HVAC system,Critical,65,,,,%,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
10,ThresholdRule,CAF01_CAFETERIA,HUM,,> 70%RH (CRITICAL),Check drainage and activate ventilation system,Critical,70,,,,%,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
1,THRESHOLD,ST01.FILLING,TMP,°C,CRIT_LO,Inspect and notify maintenance,CRIT_LO,15,,,,°C,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
2,THRESHOLD,ST01.FILLING,PRS,bar,CRIT_HI,Inspect and notify maintenance,CRIT_HI,4.8,,,,bar,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
3,THRESHOLD,ST02_SEALING,TMP,°C,CRIT_LO,E-STOP ST02/ST03/ST04; inspect element,CRIT_LO,165,,,,°C,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
4,THRESHOLD,ST02_SEALING,PRS,bar,CRIT_HI,Inspect and notify maintenance,CRIT_HI,6.2,,,,bar,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
5,THRESHOLD,ST03_LABELLING,SPD,m/s,CRIT_LO,Inspect and notify maintenance,CRIT_LO,0.65,,,,m/s,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
6,THRESHOLD,ST03_LABELLING,TEN,N,CRIT_LO,Inspect and notify maintenance,CRIT_LO,1.5,,,,N,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
7,THRESHOLD,ST03_LABELLING,CNT,pcs/min,CRIT_LO,E-STOP labelling; inspect label path,CRIT_LO,100,,,,pcs/min,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
8,THRESHOLD,ST04_PACKAGING,VIB,mm/s,CRIT_LO,E-STOP; inspect main bearing,CRIT_LO,0.01,,,,mm/s,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
9,THRESHOLD,ST04_PACKAGING,CUR,A,CRIT_HI,Inspect and notify maintenance,CRIT_HI,11,,,,A,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
10,THRESHOLD,ST04_PACKAGING,SPD,m/s,CRIT_HI,Inspect and notify maintenance,CRIT_HI,1.6,,,,m/s,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
11,THRESHOLD,SRV01_SERVERROOM,TMP,°C,CRIT_LO,Activate backup cooling; prepare controlled PLC,CRIT_LO,16,,,,°C,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
12,THRESHOLD,SRV01_SERVERROOM,HUM,%RH,CRIT_HI,Inspect and notify maintenance,CRIT_HI,70,,,,%RH,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,naive,0,deepseek-r1-distill-qwen-7b_naive_run1,1,False
