ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,OperationalRule,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW MUST be maintained between 112 and 128 L/min,Inspect and notify maintenance,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
RULE-ST01-02,OperationalRule,ST01_FILLING,ST01_FILLING_TMP,TMP,"If TMP exceeds 26°C, reduce speed by 10% and notify QC.",Inspect and notify maintenance,MANDATORY,,26.0,,,C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
RULE-ST01-03,OperationalRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS drop below 3.3 bar - inspect inlet valve within 5 min.,Inspect and notify maintenance,MANDATORY,,,3.3,,bar,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP MUST remain between 175 and 195 C.,Inspect and notify maintenance,CRITICAL,195.0,,175.0,,C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04.",Emergency stop,CRITICAL,210.0,,,,C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance.,Schedule maintenance,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
RULE-ST02-04,OperationalRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,Monitor ST04_PACKAGING-SPD,WARNING,,,,,,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
RULE-ST01-FILLING-TMP-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP critical thresholds for ST01_FILLING,Inspect and notify maintenance,CRITICAL,30.0,,,15.0,C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
RULE-ST01-FILLING-PRS-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRS,TMP critical thresholds for ST01_FILLING,Inspect and notify maintenance,CRITICAL,4.8,,,3.0,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
RULE-ST01-FILLING-FLW-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,TMP critical thresholds for ST01_FILLING,Inspect and notify maintenance,CRITICAL,135.0,,,105.0,L/min,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
RULE-ST02-SEALING-TMP-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP critical thresholds for ST02_SEALING,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210.0,,,165.0,C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
RULE-ST02-SEALING-PRS-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_PRS,PRS,TMP critical thresholds for ST02_SEALING,Inspect and notify maintenance,CRITICAL,6.2,,,4.2,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
RULE-ST02-SEALING-CUR-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,CUR,TMP critical thresholds for ST02_SEALING,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,,,,9.5,A,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
MAINT-01,OperationalRule,ST04_PACKAGING,VIB,VIB,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing HIGH,HIGH,,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
MAINT-02,OperationalRule,ST02_SEALING,CUR,CUR,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,few_shot_static,0,mistralai-mistral-7b-instruct-v0_3_few_shot_static_run1,1,False
