ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,primaryFault,resolution,secondaryEffect
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,FlowRate,MUST be maintained between,,,128,,,112,L/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,If exceeds,reduce speed by 10% and notify QC.,,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,PRS drop below,inspect inlet valve within 5 min.,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,MUST remain between,,,195,,175,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,TMP >,"emergency stop ST02, ST03, ST04.",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance.,,,,,,,A,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,WARNING,,,,,A,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Force,MUST be between,,,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,CNT below,check for label jam. Below 100 (CRITICAL): halt.,,100,,110,,pcs/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,Force,TEN STUCK >10 consecutive samples - sensor failure.,,,,,10,,samples,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,VIB >,schedule maintenance within 24 h.,WARNING,0.35,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,VIB >,emergency stop; inspect bearings.,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,naive,0,mistralai-mistral-7b-instruct-v0_3_naive_run1,1,False,,,
