ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FlowRate,MUST be maintained between,,,128,,,,L/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,If TMP exceeds,notify QC,CRITICAL,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,PRS drop below,inspect inlet valve within 5 min.,,,,,3.3,bar,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,TMP MUST remain between,,,195,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,TMP > 210°C (CRITICAL),"emergency stop ST02, ST03, ST04.",CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,Current,CUR increase >1.5 A above nominal sustained >5 min,schedule maintenance.,,,,,,,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
ST01_FILLING_TMP,ThresholdRule,ST01_FILLING,TMP,,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,15,15,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
ST01_FILLING_PRS,ThresholdRule,ST01_FILLING,PRS,,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,3,3,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
ST01_FILLING_FLW,ThresholdRule,ST01_FILLING,FLW,,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,105,105,L/min,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
ST02_SEALING_TMP,ThresholdRule,ST02_SEALING,TMP,,CRIT_LO,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,,,165,165,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
ST02_SEALING_PRS,ThresholdRule,ST02_SEALING,PRS,,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,4.2,4.2,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
MAINT-01,ThresholdRule,ST04_PACKAGING,VIB,,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing HIGH,HIGH,,,,,mm/s,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
MAINT-02,ThresholdRule,ST02_SEALING,CUR,,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,,,1.0,,A,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
MAINT-03,ThresholdRule,ST03_LABELLING,TEN,,TEN STUCK >10 samples,Replace sensor,MEDIUM,,,10,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
MAINT-04,ThresholdRule,ST01_FILLING,PRS,,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,3.3,0.0,bar,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
MAINT-05,ThresholdRule,SRV01_SERVERROOM,TMP,,TMP >25°C for >5 min,Activate secondary cooling,,25.0,,,,°C,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
RULE-ZONE-AUTH,AuthorizationRule,,Role_Prod.Area,Boolean,YES,,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
RULE-ZONE-AUTH,AuthorizationRule,,Role_Server Room,Boolean,YES,,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
RULE-ZONE-AUTH,AuthorizationRule,,Role_Gen. Warehouse,Boolean,YES,,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
RULE-ZONE-AUTH,AuthorizationRule,,Role_Main Entrance,Boolean,YES,,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
RULE-ZONE-AUTH,AuthorizationRule,,Role_Chem. Storage,Boolean,YES,,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
RULE-ZONE-AUTH,AuthorizationRule,,Role_R&D Lab,Boolean,YES,,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
RULE-ZONE-AUTH,AuthorizationRule,,Role_Cafeteria,Boolean,YES,,,,,,,,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
RULE-OCCUPANCY,ThresholdRule,Production Area,Occupancy_Persons,Numeric,>=,,CRITICAL,12.0,10.0,,,persons,SOP_004_PersonnelZoneAccess.txt,mistralai/mistral-7b-instruct-v0.3,reflexion,2,mistralai-mistral-7b-instruct-v0_3_reflexion_run1,2,False
