gtId,sensor,type,status,detector,matchedRules,gtStart,gtEnd,detStart,detEnd,latencyMin,coveragePct,run_file
GT-0001,ST02_SEALING_TMP,SPIKE,COVERED,threshold,RULE-THR-ST02-TMP-CRIT,2026-01-06T08:30:00,2026-01-06T08:33:00,2026-01-06T08:30:00,2026-01-06T08:30:30,0.0,16.7,baseline_b0.csv
GT-0002,ST01_FILLING_PRS,DRIFT,COVERED,threshold,RULE-THR-ST01-PRS-CRIT,2026-01-06T11:00:00,2026-01-06T11:45:00,2026-01-06T11:39:00,2026-01-06T11:45:00,39.0,13.3,baseline_b0.csv
GT-0003,ST04_PACKAGING_VIB,DRIFT,COVERED,drift,MAINT-01,2026-01-07T07:00:00,2026-01-07T08:30:00,2026-01-07T07:55:00,2026-01-07T09:06:00,55.0,38.9,baseline_b0.csv
GT-0004,ST03_LABELLING_TEN,STUCK,COVERED,stuck,MAINT-03,2026-01-07T09:30:00,2026-01-07T09:42:00,2026-01-07T09:35:00,2026-01-07T09:42:00,5.0,58.3,baseline_b0.csv
GT-0005,SRV01_SERVERROOM_TMP,OUT_OF_RANGE,GAP,,,2026-01-07T12:00:00,2026-01-07T12:20:00,,,,,baseline_b0.csv
GT-0006,CAF01_CAFETERIA_TMP,OUT_OF_RANGE,GAP,,,2026-01-07T16:00:00,2026-01-07T16:30:00,,,,,baseline_b0.csv
GT-0007,ST01_FILLING_FLW,SPIKE,COVERED,threshold,RULE-THR-ST01-FLW-CRIT,2026-01-08T06:30:00,2026-01-08T06:32:00,2026-01-08T06:30:00,2026-01-08T06:31:00,0.0,50.0,baseline_b0.csv
GT-0008,ST02_SEALING_CUR,DRIFT,COVERED,threshold,RULE-THR-ST02-CUR-CRIT,2026-01-08T08:00:00,2026-01-08T10:00:00,2026-01-08T09:18:30,2026-01-08T10:00:00,78.5,34.6,baseline_b0.csv
GT-0009,ST04_PACKAGING_SPD,CORRELATED,GAP,,,2026-01-08T09:30:00,2026-01-08T10:30:00,,,,,baseline_b0.csv
GT-0010,ST03_LABELLING_CNT,OUT_OF_RANGE,GAP,,,2026-01-09T07:30:00,2026-01-09T07:55:00,,,,,baseline_b0.csv
GT-0011,CHM01_CHEMICALSTORAGE_TMP,OUT_OF_RANGE,GAP,,,2026-01-09T08:00:00,2026-01-09T08:45:00,,,,,baseline_b0.csv
GT-0012,WRH01_WAREHOUSE_TMP,DRIFT,GAP,,,2026-01-09T10:00:00,2026-01-09T13:00:00,,,,,baseline_b0.csv
GT-0013,RND01_RDLAB_HUM,DRIFT,GAP,,,2026-01-09T11:30:00,2026-01-09T13:00:00,,,,,baseline_b0.csv
GT-0014,ST04_PACKAGING_VIB,SPIKE,GAP,,,2026-01-09T13:00:00,2026-01-09T13:01:00,,,,,baseline_b0.csv
