action,anomalyType,causedBy,critHi,critLo,csiSubject,dept,description,durationMin,durationSec,endTs,eventId,gtId,label,line,magnitude,name,nodeId,nominalValue,personId,priority,role,ruleId,sensorType,severity,shift,sourceRule,startTs,stationType,timestamp,type,unit,warnHi,warnLo,zone
,,,,,,,,,,,,,System,LineaA,,iMAKS,N0001,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Zone,,,Production Area,N0002,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Zone,,,Server Room,N0003,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Zone,,,General Warehouse,N0004,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Zone,,,Main Entrance,N0005,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Zone,,,Chemical Storage,N0006,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Zone,,,R&D Lab,N0007,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Zone,,,Cafeteria,N0008,,,,,,,,,,,,,,,,,
,,,,,,,Filling station — liquid product filling,,,,,,Component,,,ST01_FILLING,N0009,,,,,,,,,,,FILLING,,,,,,Production Area
,,,30.0,15.0,,,,,,,,,Sensor,,,ST01_FILLING_TMP,N0010,22.0,,,,,TMP,,,,,,,,°C,26.0,18.0,
,,,4.8,3.0,,,,,,,,,Sensor,,,ST01_FILLING_PRS,N0011,3.8,,,,,PRS,,,,,,,,bar,4.2,3.3,
,,,135.0,105.0,,,,,,,,,Sensor,,,ST01_FILLING_FLW,N0012,120.0,,,,,FLW,,,,,,,,L/min,128.0,112.0,
,,,,,,,Sealing station — thermal sealing of packages,,,,,,Component,,,ST02_SEALING,N0013,,,,,,,,,,,SEALING,,,,,,Production Area
,,,210.0,165.0,,,,,,,,,Sensor,,,ST02_SEALING_TMP,N0014,185.0,,,,,TMP,,,,,,,,°C,195.0,175.0,
,,,6.2,4.2,,,,,,,,,Sensor,,,ST02_SEALING_PRS,N0015,5.2,,,,,PRS,,,,,,,,bar,5.7,4.6,
,,,15.0,9.5,,,,,,,,,Sensor,,,ST02_SEALING_CUR,N0016,12.4,,,,,CUR,,,,,,,,A,13.5,11.0,
,,,,,,,Labelling station — label application and tension control,,,,,,Component,,,ST03_LABELLING,N0017,,,,,,,,,,,LABELLING,,,,,,Production Area
,,,1.05,0.65,,,,,,,,,Sensor,,,ST03_LABELLING_SPD,N0018,0.85,,,,,SPD,,,,,,,,m/s,0.95,0.75,
,,,3.0,1.5,,,,,,,,,Sensor,,,ST03_LABELLING_TEN,N0019,2.2,,,,,TEN,,,,,,,,N,2.6,1.8,
,,,140,100,,,,,,,,,Sensor,,,ST03_LABELLING_CNT,N0020,120,,,,,CNT,,,,,,,,pcs/min,130,110,
,,,,,,,Packaging station — final boxing and conveyor,,,,,,Component,,,ST04_PACKAGING,N0021,,,,,,,,,,,PACKAGING,,,,,,Production Area
,,,0.35,0.01,,,,,,,,,Sensor,,,ST04_PACKAGING_VIB,N0022,0.12,,,,,VIB,,,,,,,,mm/s,0.2,0.02,
,,,11.0,6.5,,,,,,,,,Sensor,,,ST04_PACKAGING_CUR,N0023,8.7,,,,,CUR,,,,,,,,A,9.8,7.5,
,,,1.6,0.85,,,,,,,,,Sensor,,,ST04_PACKAGING_SPD,N0024,1.2,,,,,SPD,,,,,,,,m/s,1.4,1.0,
,,,,,,,IT infrastructure room — temperature and humidity control,,,,,,Component,,,SRV01_SERVERROOM,N0025,,,,,,,,,,,SERVERROOM,,,,,,Server Room
,,,28.0,16.0,,,,,,,,,Sensor,,,SRV01_SERVERROOM_TMP,N0026,21.0,,,,,TMP,,,,,,,,°C,25.0,18.0,
,,,70.0,25.0,,,,,,,,,Sensor,,,SRV01_SERVERROOM_HUM,N0027,45.0,,,,,HUM,,,,,,,,%RH,60.0,30.0,
,,,,,,,Cold storage warehouse — temperature controlled,,,,,,Component,,,WRH01_WAREHOUSE,N0028,,,,,,,,,,,WAREHOUSE,,,,,,General Warehouse
,,,12.0,-1.0,,,,,,,,,Sensor,,,WRH01_WAREHOUSE_TMP,N0029,4.0,,,,,TMP,,,,,,,,°C,8.0,0.5,
,,,90.0,55.0,,,,,,,,,Sensor,,,WRH01_WAREHOUSE_HUM,N0030,75.0,,,,,HUM,,,,,,,,%RH,85.0,60.0,
,,,,,,,Hazardous materials storage — strict temperature and humidity control,,,,,,Component,,,CHM01_CHEMICALSTORAGE,N0031,,,,,,,,,,,CHEMICALSTORAGE,,,,,,Chemical Storage
,,,25.0,5.0,,,,,,,,,Sensor,,,CHM01_CHEMICALSTORAGE_TMP,N0032,15.0,,,,,TMP,,,,,,,,°C,20.0,10.0,
,,,60.0,15.0,,,,,,,,,Sensor,,,CHM01_CHEMICALSTORAGE_HUM,N0033,35.0,,,,,HUM,,,,,,,,%RH,50.0,20.0,
,,,,,,,Research and development laboratory — precision climate control,,,,,,Component,,,RND01_RDLAB,N0034,,,,,,,,,,,RDLAB,,,,,,R&D Lab
,,,30.0,15.0,,,,,,,,,Sensor,,,RND01_RDLAB_TMP,N0035,22.0,,,,,TMP,,,,,,,,°C,26.0,18.0,
,,,75.0,25.0,,,,,,,,,Sensor,,,RND01_RDLAB_HUM,N0036,50.0,,,,,HUM,,,,,,,,%RH,65.0,35.0,
,,,,,,,Staff cafeteria — occupant comfort and food safety monitoring,,,,,,Component,,,CAF01_CAFETERIA,N0037,,,,,,,,,,,CAFETERIA,,,,,,Cafeteria
,,,30.0,14.0,,,,,,,,,Sensor,,,CAF01_CAFETERIA_TMP,N0038,21.0,,,,,TMP,,,,,,,,°C,26.0,17.0,
,,,80.0,25.0,,,,,,,,,Sensor,,,CAF01_CAFETERIA_HUM,N0039,55.0,,,,,HUM,,,,,,,,%RH,70.0,35.0,
,SPIKE,,,,,,,3,,2026-01-06T08:33:00,,GT-0001,AnomalyEvent,,28.0,,N0040,,,,,,,CRITICAL,,RULE_TMP_THRESHOLD_CRITICAL,2026-01-06T08:30:00,,,,,,,
,DRIFT,,,,,,,45,,2026-01-06T11:45:00,,GT-0002,AnomalyEvent,,0.6,,N0041,,,,,,,WARNING,,RULE_PRS_THRESHOLD_WARNING,2026-01-06T11:00:00,,,,,,,
,DRIFT,,,,,,,90,,2026-01-07T08:30:00,,GT-0003,AnomalyEvent,,0.18,,N0042,,,,,,,WARNING,,RULE_VIB_THRESHOLD_WARNING,2026-01-07T07:00:00,,,,,,,
,STUCK,,,,,,,12,,2026-01-07T09:42:00,,GT-0004,AnomalyEvent,,0,,N0043,,,,,,,WARNING,,RULE_TEN_THRESHOLD_WARNING,2026-01-07T09:30:00,,,,,,,
,OUT_OF_RANGE,,,,,,,20,,2026-01-07T12:20:00,,GT-0005,AnomalyEvent,,5.5,,N0044,,,,,,,CRITICAL,,RULE_TMP_THRESHOLD_CRITICAL,2026-01-07T12:00:00,,,,,,,
,SPIKE,,,,,,,2,,2026-01-08T06:32:00,,GT-0006,AnomalyEvent,,-30.0,,N0045,,,,,,,WARNING,,RULE_FLW_THRESHOLD_WARNING,2026-01-08T06:30:00,,,,,,,
,DRIFT,,,,,,,120,,2026-01-08T10:00:00,,GT-0007,AnomalyEvent,,2.1,,N0046,,,,,,,WARNING,,RULE_CUR_THRESHOLD_WARNING,2026-01-08T08:00:00,,,,,,,
