item,gt_text_compared,pred_text_compared,human_same_rule
P001,AccessRule | security role - CRITICAL alarm acknowledgment | Must acknowledge within 5 minutes | MANDATORY | min,AcknowledgmentTime | security | 5.0 | 20.0,
P002,main feed breaker | tripped immediately if catastrophic seal failure occurs | [OP-SD-001] The main feed breaker must be tripped immediately if catastrophic seal failure occurs.,EmergencyShutdownRule | The main feed breaker must be tripped immediately if catastrophic seal failure occurs.,
P003,AccessRule | operator role - CRITICAL alarm acknowledgment | Must acknowledge within 3 minutes | MANDATORY | min,FaultPropagationRule | A fault at any station propagates downstream unless the line is halted | ST01_FILLING → ST02_SEALING → ST03_LABELLING → ST04_PACKAGING,
P004,StartStopInterlock | Digester Agitator | AGT-301 | Digester level | level falls below 2.0 m | DCS stops agitator immediately | 2.0 | m,StartInterlock | level falls below 2.0 m | the DCS stops the agitator immediately | shall not start unless the digester level is above the minimum agitator immersion level (2.0 m from tank bottom) | AGT-301,
P005,"ConfinedSpaceProcedure | Digester tanks | Pre-entry atmosphere | within 15 min prior to entry: CH4<10% LEL, H2S<10 ppm, O2 19.5-23.5% | entry allowed only if all conditions met | 10.0 | % LEL","Requirement | all personnel must evacuate immediately and the evacuation alarm sounded | CH4 concentration exceeds 5% LEL | atmosphere must be tested within 15 minutes prior to entry | confined space | DGT-101 or DGT-102 | log the entry permit in the electronic system and obtain acknowledgment from the Shift Supervisor within 15 minutes of permit activation | CH4 (<10% LEL), H2S (<10 ppm), and O2 (19.5-23.5%) | mandatory | dedicated standby attendant with continuous radio contact shall be posted",
P006,4.0 | Instrument Calibration Schedule | Verify calibration every 6 months by clamp-on ultrasonic method; performed by Instrument Technician. | 6 | months | Flowmeter FI-401 | Instrument Technician,CalibrationSchedule | Verify calibration every 6 months by clamp-on ultrasonic method; performed by Instrument Technician. | Flowmeter FI-401,
P007,NormalOperatingLimit | FLR-601 | Flame Temperature | shall be at or above minimum | 850.0 | C,EntryRestriction | FLR-601 | not permitted without explicit authorisation from the Shift Supervisor,
P008,"AcknowledgmentDeadline | Control room | Critical alarm state | any Critical alarm not acknowledged within 3 minutes of annunciation | escalation to Shift Supervisor pager, facility siren activated | Critical | 3.0 | min","RecurringDuty | Failure to acknowledge | escalates to the Shift Supervisor's pager and activates the facility siren | must be acknowledged by the control room operator within 3 minutes of annunciation | [55, 56, 57, 58, 59] | Critical | DGT-101/102 pH Low-Low, BLR-501 High-High Steam Pressure, GSH-401 Level High-High, and CH4 <40% vol",
P009,AccessRule | security role - WARNING alarm acknowledgment | Must acknowledge within 20 minutes | MANDATORY | min,OccupancyLimit | Cafeteria | Monitoring only - occupant comfort | 20.0,
P010,SafetyDeviceSetpoint | GSH-401 | VLV-802 | Pressure | reaches 55 mbar | Pressure relief valve VLV-802 opens | 55.0 | mbar,OperatingLimit | Gas Holder | Pressure relief valve VLV-802 set to lift at 55 mbar. | 50 | - | Pressure | GSH-401 | mbar,
P011,NormalOperatingLimit | DGT-102 | Pressure | shall be within bounds | -5.0 | 10.0 | mbar,OperatingLimit | Secondary Digester 2 | Same overpressure response as DGT-101 via VLV-804. | +10 | -5 | Pressure | DGT-102 | mbar,
P012,OperationalRule | WRH01_WAREHOUSE | WRH01_WAREHOUSE_TMP | TMP | TMP MUST remain between 0.5°C and 8°C | Activate backup refrigeration; notify QC | MANDATORY | 12.0 | 8.0 | -1.0 | 0.5 | °C,StationDependency | General Warehouse | WRH01_WAREHOUSE | COMPRESSOR | Cold storage - product quality,
P013,AccessRule | Cafeteria | Monitoring only - occupant comfort | persons,StationDependency | CAF01_CAFETERIA | Cafeteria | HVAC | Occupant comfort - food safety,
P014,3.0 | Automatic Trip Scenarios | AI-301 ≥ 50 ppm SO₂ | 50 | ppm SO₂ | AI-301,AutomaticTripResponse | High SO₂ concentration in stack | Initiate stack emergency scrubber; trip sulfur feed | AI-301 ≥ 50 ppm SO₂ | 1 minute | Evacuate downwind area; sound site alarm; notify Environmental Manager | High SO₂ concentration in stack,
P015,Maintenance_Tech | Normal_Production | Visual inspection only | Maintenance_Tech | Normal_Production | Visual inspection only,AccessAuthorization | Visual inspection only | Normal_Production | Maintenance_Tech,
P016,AlarmControlResponse | DGT-102 | Temperature | <35 C continuously for >2 h | DCS opens heating valve VLV-302 | Warning | 35.0 | C,OperatingLimit | Secondary Digester 2 | Identical response: VLV-302 opens if temp <35C for >2 h. | 42 | 35 | Temperature | DGT-102 | C,
P017,4.4 | Manual Emergency Shutdown Procedure | Close all acid transfer valves to storage.,ManualProcedure | CRO | Close all acid transfer valves to storage. | Shift Supervisor orders a manual shutdown,
P018,3.2 | Pre-Startup Checks | Sulfur melter S-101 temperature ≥ 135°C. | 135 | °C | S-101,PreStartupRequirement | ≥ 135°C,
P019,"2.2 | Responsibilities | The Field Operator is responsible for physical rounds, sampling, and verification of local gauge readings. | Field Operator","PersonnelDuty | responsible for physical rounds, sampling, and verification of local gauge readings",
P020,dosing skid containment bund | detected spill | pumped empty | 4 hours | The dosing skid containment bund must be pumped empty within 4 hours of any detected spill.,SpillResponse | dosing skid containment bund must be pumped empty | within 4 hours of any detected spill,
P021,"permeate bypass valve | remain fully open | [OP-ST-003] During startup, the permeate bypass valve must remain fully open, and the brine reject flow must be logged every 10 minutes.",DiagnosticProcedure | process engineers conduct membrane autopsies on sacrificial elements | When permeability declines unexpectedly,
P022,ScheduledTask | Flare | FLR-601 | Time elapsed | every 168 hours | flare ignition test conducted; result logged in shift log | 168.0 | hours,"RecurringDuty | [90, 91, 92, 93] | flare ignition system | weekly (every 168 hours) | test and result (success/failure) must be logged in the shift log by the maintenance technician",
P023,OperationalRule | SRV01_SERVERROOM | SRV01_SERVERROOM_TMP | TMP | TMP MUST NOT exceed 25°C | Inspect and notify maintenance | MANDATORY | 28.0 | 25.0 | 16.0 | 18.0 | °C,StandingCap | SRV01_SERVERROOM | MUST NOT exceed 25°C,
P024,AccessRule | KG node for unauthorised access event | MUST include authorized=NO and reference to this rule | MANDATORY,DataRequirement | The KG node MUST include authorized=NO and a reference to this rule.,
P025,"6.3 | Automatic Control and Interlocks | In the event of a loss of instrument air, the fail-safe valves shall move to their safe positions as specified in P&ID 02-01. | loss of instrument air",AutomaticReaction | fail-safe valves shall move to their safe positions as specified in P&ID 02-01 | loss of instrument air,
P026,NormalOperatingLimit | FLR-601 | Flame Temperature | shall be at or above minimum | 850.0 | C,AccessRestriction | FLR-601 | No personnel entry is permitted without explicit authorisation from the Shift Supervisor,
P027,high-pressure intake pump | ramp rate | bar per minute | [OP-ST-001] The high-pressure intake pump must ramp up at a maximum rate of 0.5 bar per minute to prevent membrane telescoping.,RampRateLimit | 0.5 bar per minute,
P028,2.3 | Responsibilities | The Shift Supervisor has authority to approve deviations from normal operating targets and to authorise interlock bypasses. | Shift Supervisor,RoleResponsibility | has authority to approve deviations from normal operating targets and to authorise interlock bypasses,
P029,MaintenanceRule | ST03_LABELLING | ST03_LABELLING_TEN | TEN | TEN STUCK >10 consecutive samples | Replace TEN sensor | MEDIUM | N,PredictiveMaintenanceTrigger | ST03_LABELLING | TEN | Replace sensor | MEDIUM | TEN STUCK >10 samples,
P030,"ThresholdRule | ST01_FILLING | ST01_FILLING_TMP | TMP | Temperature critical thresholds: 15.0°C (CRIT_LO), 18.0°C (WARN_LO), 22.0±0.4°C (NOMINAL), 26.0°C (WARN_HI), 30.0°C (CRIT_HI) | Inspect and notify maintenance | CRITICAL | 30.0 | 26.0 | 15.0 | 18.0 | °C",AlarmThreshold | ST01_FILLING | TMP | 30.0 | 15.0 | Inspect and notify maintenance | 22.0 ± 0.4 | °C | 26.0 | 18.0,
P031,NormalOperatingLimit | FLR-601 | Flame Temperature | shall be at or above minimum | 850.0 | C,AccessRequirement | FLR-601 | not permitted without explicit authorisation from the Shift Supervisor,
P032,OperationalRule | WRH01_WAREHOUSE | WRH01_WAREHOUSE_TMP | TMP | TMP CRITICAL above 12°C | Notify QC and quarantine batch | CRITICAL | 12.0 | 8.0 | -1.0 | 0.5 | °C,StandingCap | WRH01_WAREHOUSE (General Warehouse) | notify QC and quarantine batch | above 12°C | MUST remain between 0.5°C and 8°C,
P033,"7.2 | Shift Handover and Logging | The process log shall be updated every 30 minutes with: SO2 feed rate, Bed 1 outlet temperature, acid concentration, and any alarm occurrences. | 30 | minutes","LoggingFrequency | every 30 minutes | SO2 feed rate, Bed 1 outlet temperature, acid concentration, and any alarm occurrences",
P034,OperationalRule | ST03_LABELLING | ST03_LABELLING_CNT | CNT | CNT below 100 pcs/min (CRITICAL) | Halt labelling; inspect label path | CRITICAL | 140.0 | 130.0 | 100.0 | 110.0 | pcs/min,StationDependency | Production Area | ST03_LABELLING | ST02 | Feeds ST04_PACKAGING,
P035,anti-scalant dosing pump | energized and verified active prior to raw water valve actuation | [OP-ST-002] The anti-scalant dosing pump must be energized and verified active prior to raw water valve actuation.,StartupSequenceRequirement | The anti-scalant dosing pump must be energized and verified active prior to raw water valve actuation.,
P036,anti-scalant dosing pump | energized and verified active prior to raw water valve actuation | [OP-ST-002] The anti-scalant dosing pump must be energized and verified active prior to raw water valve actuation.,StartupRequirement | The anti-scalant dosing pump must be energized and verified active prior to raw water valve actuation.,
P037,2.1 | Responsibilities | The CRO shall immediately execute the actions listed for each trip scenario. | CRO,RecurringDuty | The CRO shall immediately execute the actions listed for each trip scenario.,
P038,2.2 | Lockout/Tagout Procedure | The Maintenance Supervisor shall verify zero energy state and issue a safety work permit before work commences. | Maintenance Supervisor,VerificationProcedure | shall verify zero energy state and issue a safety work permit before work commences | Maintenance Supervisor,
P039,anti-scalant dosing pump | energized and verified active prior to raw water valve actuation | [OP-ST-002] The anti-scalant dosing pump must be energized and verified active prior to raw water valve actuation.,StartupSequenceRequirement | energized and verified active prior to raw water valve actuation,
P040,"MaintenanceTrigger | Digester Agitator | VIB-301 | RMS vibration | >7.1 mm/s continuously for >15 minutes | auto-generate Urgent maintenance work order, address within 24 hours | Urgent | 7.1 | mm/s","MaintenanceTrigger | maintenance work order shall be auto-generated with priority ""Urgent"" | RMS vibration exceeds 7.1 mm/s for more than 15 minutes continuously | to be addressed within 24 hours | AGT-301 | VIB-301",
P041,"brine reject flow | logged every 10 minutes | [OP-ST-003] During startup, the permeate bypass valve must remain fully open, and the brine reject flow must be logged every 10 minutes.",StartupProcedure | must be logged every 10 minutes | must remain fully open,
P042,3.0 | Automatic Trip Scenarios | Pressure switch PS-501 ≤ 4.0 bar | 4.0 | bar | PS-501,AutomaticTripResponse | Loss of instrument air | All control valves fail to safe position per P&ID | Pressure switch PS-501 ≤ 4.0 bar | 5 minutes | Verify valve positions; shut down plant manually if needed | Loss of instrument air,
P043,Maintenance_Tech | CIP_Cleaning | Full access | Maintenance_Tech | CIP_Cleaning | Full access,AccessAuthorization | Full access | CIP_Cleaning | Maintenance_Tech,
P044,2.3 | Responsibilities | The Shift Supervisor has authority to approve deviations from normal operating targets and to authorise interlock bypasses. | Shift Supervisor,PersonnelAuthority | approve deviations from normal operating targets and to authorise interlock bypasses | Shift Supervisor,
P045,AlarmControlResponse | GSH-401 | Level | >95% | DCS starts flare FLR-601 and inhibits CHP gas supply | Critical | 95.0 | %,"OperatingLimit | If level >95%, DCS starts flare FLR-601 and inhibits CHP gas supply. If level <20%, CHP supply inhibited and Warning alarm active. | Gas Holder | 90 | 20 | Level | GSH-401 | %",
P046,3.0 | Automatic Trip Scenarios | AI-301 ≥ 50 ppm SO₂ | 50 | ppm SO₂ | AI-301,AutomaticReaction | Initiate stack emergency scrubber; trip sulfur feed | AI-301 ≥ 50 ppm SO₂ | 1 minute | Evacuate downwind area; sound site alarm; notify Environmental Manager | High SO₂ concentration in stack,
P047,"ThresholdRule | CAF01_CAFETERIA | CAF01_CAFETERIA_HUM | HUM | Humidity critical thresholds: CRIT_LO=25.0%RH, WARN_LOW=35.0%RH, nominal=55.0±1.5%RH, WARN_HI=70.0%RH, CRIT_HI=80.0%RH | Inspect and notify maintenance | CRITICAL | 80.0 | 70.0 | 25.0 | 35.0 | %RH",SensorThreshold | CAF01_CAFETERIA | HUM | 80.0 | 25.0 | Inspect and notify maintenance | 55.0 ± 1.5 | %RH | 70.0 | 35.0,
P048,"brine reject flow | logged every 10 minutes | [OP-ST-003] During startup, the permeate bypass valve must remain fully open, and the brine reject flow must be logged every 10 minutes.",StartupOperationalRequirement | every 10 minutes | fully open,
