response_id,gt_id,station_id,zone,sensor_id,anomaly_type,severity,event_start_ts,ack_timestamp,ack_delay_min,responder_id,responder_role,action_taken,max_allowed_min,sla_met
AR-0001,GT-0001,ST02_SEALING,Production Area,ST02_SEALING_TMP,SPIKE,CRITICAL,2026-01-06T08:30:00,2026-01-06T08:30:24,0.4,P034,supervisor,Backup system activated. Incident report opened.,3,YES
AR-0002,GT-0002,ST01_FILLING,Production Area,ST01_FILLING_PRS,DRIFT,WARNING,2026-01-06T11:00:00,2026-01-06T11:04:36,4.6,P021,technician,Monitoring frequency increased. Trend logged.,15,YES
AR-0003,GT-0003,ST04_PACKAGING,Production Area,ST04_PACKAGING_VIB,DRIFT,WARNING,2026-01-07T07:00:00,2026-01-07T07:00:18,0.3,P021,technician,Monitoring frequency increased. Trend logged.,15,YES
AR-0004,GT-0004,ST03_LABELLING,Production Area,ST03_LABELLING_TEN,STUCK,WARNING,2026-01-07T09:30:00,2026-01-07T09:32:42,2.7,P024,technician,Visual inspection performed. Parameters within tolerance.,15,YES
AR-0005,GT-0005,SRV01_SERVERROOM,Server Room,SRV01_SERVERROOM_TMP,OUT_OF_RANGE,CRITICAL,2026-01-07T12:00:00,2026-01-07T12:01:42,1.7,P034,supervisor,Production halted per SOP-001 §5. Supervisor alerted.,3,YES
AR-0006,GT-0006,CAF01_CAFETERIA,Cafeteria,CAF01_CAFETERIA_TMP,OUT_OF_RANGE,WARNING,2026-01-07T16:00:00,2026-01-07T16:11:42,11.7,P023,technician,Maintenance ticket opened per SOP-003.,15,YES
AR-0007,GT-0007,ST01_FILLING,Production Area,ST01_FILLING_FLW,SPIKE,WARNING,2026-01-08T06:30:00,2026-01-08T06:32:06,2.1,P028,technician,Maintenance ticket opened per SOP-003.,15,YES
AR-0008,GT-0008,ST02_SEALING,Production Area,ST02_SEALING_CUR,DRIFT,WARNING,2026-01-08T08:00:00,2026-01-08T08:11:42,11.7,P025,technician,Maintenance ticket opened per SOP-003.,15,YES
AR-0009,GT-0009,ST04_PACKAGING,Production Area,ST04_PACKAGING_SPD,CORRELATED,WARNING,2026-01-08T09:30:00,2026-01-08T09:34:18,4.3,P023,technician,Maintenance ticket opened per SOP-003.,15,YES
AR-0010,GT-0010,ST03_LABELLING,Production Area,ST03_LABELLING_CNT,OUT_OF_RANGE,CRITICAL,2026-01-09T07:30:00,2026-01-09T07:30:18,0.3,P033,supervisor,Backup system activated. Incident report opened.,3,YES
AR-0011,GT-0011,CHM01_CHEMICALSTORAGE,Chemical Storage,CHM01_CHEMICALSTORAGE_TMP,OUT_OF_RANGE,CRITICAL,2026-01-09T08:00:00,2026-01-09T08:00:42,0.7,P033,supervisor,Backup system activated. Incident report opened.,3,YES
AR-0012,GT-0012,WRH01_WAREHOUSE,General Warehouse,WRH01_WAREHOUSE_TMP,DRIFT,CRITICAL,2026-01-09T10:00:00,2026-01-09T10:01:42,1.7,P032,supervisor,Production halted per SOP-001 §5. Supervisor alerted.,3,YES
AR-0013,GT-0013,RND01_RDLAB,R&D Lab,RND01_RDLAB_HUM,DRIFT,WARNING,2026-01-09T11:30:00,2026-01-09T11:34:48,4.8,P023,technician,Monitoring frequency increased. Trend logged.,15,YES
AR-0014,GT-0014,ST04_PACKAGING,Production Area,ST04_PACKAGING_VIB,SPIKE,CRITICAL,2026-01-09T13:00:00,2026-01-09T13:00:36,0.6,P034,supervisor,Emergency stop initiated. Maintenance notified.,3,YES
