ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm
RULE-ST01-01,OperationalRule,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW MUST be maintained between 112 and 128 L/min.,,,128,128,112,112,L/min,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-ST01-02,OperationalRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP exceeds 26°C,reduce speed by 10%,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS drop below 3.3 bar,- inspect inlet valve within 5 min.,,3.3,3.3,3.3,3.3,bar,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-ST02-01,OperationalRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP MUST remain between 175°C and 195°C.,,,195,195,175,175,°C,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-ST02-02,OperationalRule,ST02_SEALING,ST02_SEALING_TMP,TMP,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04.","emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-ST02-03,MaintenanceRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance.,schedule maintenance,WARNING,,,,,A,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-ST02-04,MaintenanceRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,WARNING,,,,,A,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-ST03-01,OperationalRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN MUST be between 1.8 and 2.6 N.,,,2.6,2.6,1.8,1.8,N,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,CNT below 110 pcs/min,- check for label jam. Below 100 (CRITICAL): halt.,,110,110,100,100,pcs/min,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > 0.20 mm/s (WARNING),- schedule maintenance within 24 h.,WARNING,0.20,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-ST04-02,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > 0.35 mm/s (CRITICAL) - emergency stop; inspect bearings.,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-ST04-03,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,SPD drops below 1.00 m/s without operator command,- verify RULE-ST02-04.,,,,,,m/s,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-SRV01-01,OperationalRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP MUST NOT exceed 25°C.,,,25,25,,,°C,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-SRV01-02,OperationalRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP > 28°C (CRITICAL) - automatic controlled shutdown of all PLC nodes.,automatic controlled shutdown of all PLC nodes.,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-WRH01-01,OperationalRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,TMP MUST remain between 0.5°C and 8°C.,,,8,8,0.5,0.5,°C,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,HUM,HUM above 85%RH (CRITICAL),- notify QC and quarantine batch.,CRITICAL,85,85,,,%RH,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-WRH01-03,OperationalRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,HUM,HUM MUST NOT exceed 50%RH.,,,50,50,,,%RH,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-CHM01-01,OperationalRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,TMP MUST remain between 10°C and 20°C.,,,20,20,10,10,°C,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,HUM,HUM above 85%RH,- activate dehumidifier.,WARNING,85,85,,,%RH,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-CHM01-03,OperationalRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,TMP above 25°C - activate emergency ventilation and notify safety officer immediately.,activate emergency ventilation and notify safety officer immediately.,CRITICAL,25,,,,°C,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-RND01-01,OperationalRule,RND01_RDLAB,RND01_RDLAB_TMP,TMP,TMP MUST remain between 18°C and 26°C for experimental validity.,,,26,26,18,18,°C,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
RULE-CAF01-01,OperationalRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TMP,TMP,TMP above 26°C,- check ventilation system. Occupant comfort is the primary criterion.,WARNING,26,26,,,°C,SOP_001_OperatingProcedures.txt,gemma-3-4b-it,few_shot_static
