ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,run_id,doc_type_classified
ST01_FILLING → ST02_SEALING → ST03_LABELLING → ST04_PACKAGING,MaintenanceRule,,,,Fault at any station in the sequence ST01_FILLING → ST02_SEALING → ST03_LABELLING → ST04_PACKAGING,Propagates downstream unless the line is halted,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FLW,FLW,"FLW outside [112, 128] L/min",Maintain within bounds,MANDATORY,128,,112,,L/min,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-ST01-02,OperationalRule,ST01_FILLING,ST01_TMP,TMP,TMP > 26°C,Reduce speed by 10% and notify QC,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-ST01-03,OperationalRule,ST01_FILLING,ST01_PRS,PRS,PRS < 3.3 bar,Inspect inlet valve within 5 minutes,CRITICAL,,,3.3,,bar,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_TMP,TMP,"TMP outside [175, 195] °C",Maintain within bounds,MANDATORY,195,,175,,°C,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-ST02-02,OperationalRule,ST02_SEALING,ST02_TMP,TMP,TMP > 210°C,"Emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_TEN,TEN,"TEN outside [1.8, 2.6] N",Maintain within bounds,MANDATORY,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-ST03-02,OperationalRule,ST03_LABELLING,ST03_CNT,CNT,CNT < 110 pcs/min,Check for label jam,WARNING,,110,,100,pcs/min,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-ST03-03,MaintenanceRule,ST03_LABELLING,ST03_TEN,TEN,TEN stuck >10 consecutive samples,Sensor failure,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-ST04-01a,OperationalRule,ST04_PACKAGING,ST04_SPD,SPD,SPD drops below 1.00 m/s without operator command,Verify RULE-ST02-04 (CUR drift at ST02_SEALING),WARNING,,1.00,,,m/s,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_TMP,TMP,TMP > 25°C,Do not exceed 25°C,WARNING,25,,,,°C,SOP_001_OperatingProcedures.txt,abl_noQGE_s42_run1,mixed
