check,subject,field,extracted,reference,reference_source,agrees,run_file
occupancy,Cafeteria,max_persons,20,5,occupancy_timeseries.zone_max,False,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
occupancy,Chemical Storage,max_persons,4,4,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
occupancy,General Warehouse,max_persons,4,4,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
occupancy,Main Entrance,max_persons,8,8,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
occupancy,Production Area,max_persons,12,12,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
occupancy,R&D Lab,max_persons,6,6,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
occupancy,Server Room,max_persons,2,2,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
acknowledgement,operator,max_ack_warning_min,15,15,person_registry.max_ack_warning,True,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
acknowledgement,operator,max_ack_critical_min,3,3,person_registry.max_ack_critical,True,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
acknowledgement,technician,max_ack_warning_min,10,15,person_registry.max_ack_warning,False,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
acknowledgement,technician,max_ack_critical_min,2,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
acknowledgement,supervisor,max_ack_warning_min,5,15,person_registry.max_ack_warning,False,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
acknowledgement,supervisor,max_ack_critical_min,1,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
acknowledgement,manager,max_ack_warning_min,15,15,person_registry.max_ack_warning,True,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
acknowledgement,manager,max_ack_critical_min,5,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
acknowledgement,security,max_ack_warning_min,20,15,person_registry.max_ack_warning,False,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
acknowledgement,security,max_ack_critical_min,5,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run1_20260807_180313.csv
occupancy,Cafeteria,max_persons,20,5,occupancy_timeseries.zone_max,False,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
occupancy,Chemical Storage,max_persons,4,4,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
occupancy,General Warehouse,max_persons,4,4,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
occupancy,Main Entrance,max_persons,8,8,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
occupancy,Production Area,max_persons,12,12,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
occupancy,R&D Lab,max_persons,6,6,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
occupancy,Server Room,max_persons,2,2,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
acknowledgement,operator,max_ack_warning_min,15,15,person_registry.max_ack_warning,True,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
acknowledgement,operator,max_ack_critical_min,3,3,person_registry.max_ack_critical,True,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
acknowledgement,technician,max_ack_warning_min,10,15,person_registry.max_ack_warning,False,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
acknowledgement,technician,max_ack_critical_min,2,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
acknowledgement,supervisor,max_ack_warning_min,5,15,person_registry.max_ack_warning,False,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
acknowledgement,supervisor,max_ack_critical_min,1,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
acknowledgement,manager,max_ack_warning_min,15,15,person_registry.max_ack_warning,True,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
acknowledgement,manager,max_ack_critical_min,5,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
acknowledgement,security,max_ack_warning_min,20,15,person_registry.max_ack_warning,False,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
acknowledgement,security,max_ack_critical_min,5,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run2_20260807_180735.csv
occupancy,Cafeteria,max_persons,20,5,occupancy_timeseries.zone_max,False,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
occupancy,Chemical Storage,max_persons,4,4,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
occupancy,General Warehouse,max_persons,4,4,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
occupancy,Main Entrance,max_persons,8,8,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
occupancy,Production Area,max_persons,12,12,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
occupancy,R&D Lab,max_persons,6,6,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
occupancy,Server Room,max_persons,2,2,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
acknowledgement,operator,max_ack_warning_min,15,15,person_registry.max_ack_warning,True,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
acknowledgement,operator,max_ack_critical_min,3,3,person_registry.max_ack_critical,True,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
acknowledgement,technician,max_ack_warning_min,10,15,person_registry.max_ack_warning,False,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
acknowledgement,technician,max_ack_critical_min,2,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
acknowledgement,supervisor,max_ack_warning_min,5,15,person_registry.max_ack_warning,False,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
acknowledgement,supervisor,max_ack_critical_min,1,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
acknowledgement,manager,max_ack_warning_min,15,15,person_registry.max_ack_warning,True,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
acknowledgement,manager,max_ack_critical_min,5,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
acknowledgement,security,max_ack_warning_min,20,15,person_registry.max_ack_warning,False,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
acknowledgement,security,max_ack_critical_min,5,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run3_20260807_181147.csv
occupancy,Cafeteria,max_persons,20,5,occupancy_timeseries.zone_max,False,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
occupancy,Chemical Storage,max_persons,4,4,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
occupancy,General Warehouse,max_persons,4,4,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
occupancy,Main Entrance,max_persons,8,8,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
occupancy,Production Area,max_persons,12,12,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
occupancy,R&D Lab,max_persons,6,6,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
occupancy,Server Room,max_persons,2,2,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
acknowledgement,operator,max_ack_warning_min,15,15,person_registry.max_ack_warning,True,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
acknowledgement,operator,max_ack_critical_min,3,3,person_registry.max_ack_critical,True,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
acknowledgement,technician,max_ack_warning_min,10,15,person_registry.max_ack_warning,False,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
acknowledgement,technician,max_ack_critical_min,2,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
acknowledgement,supervisor,max_ack_warning_min,5,15,person_registry.max_ack_warning,False,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
acknowledgement,supervisor,max_ack_critical_min,1,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
acknowledgement,manager,max_ack_warning_min,15,15,person_registry.max_ack_warning,True,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
acknowledgement,manager,max_ack_critical_min,5,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
acknowledgement,security,max_ack_warning_min,20,15,person_registry.max_ack_warning,False,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
acknowledgement,security,max_ack_critical_min,5,3,person_registry.max_ack_critical,False,ext_multi_agent_generic_dev_production_line_run4_20260807_181530.csv
occupancy,Cafeteria,max_persons,20,5,occupancy_timeseries.zone_max,False,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
occupancy,Chemical Storage,max_persons,4,4,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
occupancy,General Warehouse,max_persons,4,4,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
occupancy,Main Entrance,max_persons,8,8,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
occupancy,Production Area,max_persons,12,12,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
occupancy,R&D Lab,max_persons,6,6,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
occupancy,Server Room,max_persons,2,2,occupancy_timeseries.zone_max,True,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
acknowledgement,operator,max_ack_warning_min,15,15,person_registry.max_ack_warning,True,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
acknowledgement,operator,max_ack_critical_min,3,3,person_registry.max_ack_critical,True,ext_multi_agent_generic_dev_production_line_run5_20260807_184120.csv
