fromId,toId,type,ruleRef
N0001,N0002,contains,
N0001,N0003,contains,
N0001,N0004,contains,
N0001,N0005,contains,
N0001,N0006,contains,
N0001,N0007,contains,
N0001,N0008,contains,
N0002,N0009,contains,
N0009,N0001,part_of,
N0009,N0010,monitors,
N0010,N0009,monitors,
N0009,N0011,monitors,
N0011,N0009,monitors,
N0009,N0012,monitors,
N0012,N0009,monitors,
N0002,N0013,contains,
N0013,N0001,part_of,
N0013,N0014,monitors,
N0014,N0013,monitors,
N0013,N0015,monitors,
N0015,N0013,monitors,
N0013,N0016,monitors,
N0016,N0013,monitors,
N0002,N0017,contains,
N0017,N0001,part_of,
N0017,N0018,monitors,
N0018,N0017,monitors,
N0017,N0019,monitors,
N0019,N0017,monitors,
N0017,N0020,monitors,
N0020,N0017,monitors,
N0002,N0021,contains,
N0021,N0001,part_of,
N0021,N0022,monitors,
N0022,N0021,monitors,
N0021,N0023,monitors,
N0023,N0021,monitors,
N0021,N0024,monitors,
N0024,N0021,monitors,
N0003,N0025,contains,
N0025,N0001,part_of,
N0025,N0026,monitors,
N0026,N0025,monitors,
N0025,N0027,monitors,
N0027,N0025,monitors,
N0004,N0028,contains,
N0028,N0001,part_of,
N0028,N0029,monitors,
N0029,N0028,monitors,
N0028,N0030,monitors,
N0030,N0028,monitors,
N0006,N0031,contains,
N0031,N0001,part_of,
N0031,N0032,monitors,
N0032,N0031,monitors,
N0031,N0033,monitors,
N0033,N0031,monitors,
N0007,N0034,contains,
N0034,N0001,part_of,
N0034,N0035,monitors,
N0035,N0034,monitors,
N0034,N0036,monitors,
N0036,N0034,monitors,
N0008,N0037,contains,
N0037,N0001,part_of,
N0037,N0038,monitors,
N0038,N0037,monitors,
N0037,N0039,monitors,
N0039,N0037,monitors,
N0009,N0013,feeds_into,
N0013,N0017,feeds_into,
N0017,N0021,feeds_into,
N0016,N0024,correlates_with,RULE-ST02-04
N0014,N0040,triggers,
N0011,N0041,triggers,
N0022,N0042,triggers,
N0019,N0043,triggers,
N0026,N0044,triggers,
N0012,N0045,triggers,
N0016,N0046,triggers,
N0024,N0047,triggers,
N0020,N0048,triggers,
N0032,N0049,triggers,
N0029,N0050,triggers,
N0036,N0051,triggers,
N0022,N0052,triggers,
N0022,N0053,triggers,
N0053,N0022,resolves,
N0016,N0054,triggers,
N0054,N0016,resolves,
N0019,N0055,triggers,
N0055,N0019,resolves,
N0011,N0056,triggers,
N0056,N0011,resolves,
N0026,N0057,triggers,
N0057,N0026,resolves,
N0029,N0058,triggers,
N0058,N0029,resolves,
N0032,N0059,triggers,
N0059,N0032,resolves,
N0036,N0060,triggers,
N0060,N0036,resolves,
N0061,N0002,authorized_for,
N0061,N0004,authorized_for,
N0061,N0008,authorized_for,
N0062,N0002,authorized_for,
N0062,N0004,authorized_for,
N0062,N0008,authorized_for,
N0063,N0002,authorized_for,
N0063,N0004,authorized_for,
N0063,N0008,authorized_for,
N0064,N0002,authorized_for,
N0064,N0004,authorized_for,
N0064,N0008,authorized_for,
N0065,N0002,authorized_for,
N0065,N0004,authorized_for,
N0065,N0008,authorized_for,
N0066,N0002,authorized_for,
N0066,N0004,authorized_for,
N0066,N0008,authorized_for,
N0067,N0002,authorized_for,
N0067,N0004,authorized_for,
N0067,N0008,authorized_for,
N0068,N0002,authorized_for,
N0068,N0004,authorized_for,
N0068,N0008,authorized_for,
N0069,N0002,authorized_for,
N0069,N0004,authorized_for,
N0069,N0008,authorized_for,
N0070,N0002,authorized_for,
N0070,N0004,authorized_for,
N0070,N0008,authorized_for,
N0071,N0002,authorized_for,
N0071,N0004,authorized_for,
N0071,N0008,authorized_for,
N0072,N0002,authorized_for,
N0072,N0004,authorized_for,
N0072,N0008,authorized_for,
N0073,N0002,authorized_for,
N0073,N0004,authorized_for,
N0073,N0008,authorized_for,
N0074,N0002,authorized_for,
N0074,N0004,authorized_for,
N0074,N0008,authorized_for,
N0075,N0002,authorized_for,
N0075,N0004,authorized_for,
N0075,N0008,authorized_for,
N0076,N0002,authorized_for,
N0076,N0004,authorized_for,
N0076,N0008,authorized_for,
N0077,N0002,authorized_for,
N0077,N0004,authorized_for,
N0077,N0008,authorized_for,
N0078,N0002,authorized_for,
N0078,N0004,authorized_for,
N0078,N0008,authorized_for,
N0079,N0002,authorized_for,
N0079,N0004,authorized_for,
N0079,N0008,authorized_for,
N0080,N0002,authorized_for,
N0080,N0004,authorized_for,
N0080,N0008,authorized_for,
N0081,N0002,authorized_for,
N0081,N0003,authorized_for,
N0081,N0004,authorized_for,
N0081,N0006,authorized_for,
N0081,N0007,authorized_for,
N0081,N0008,authorized_for,
N0082,N0002,authorized_for,
N0082,N0003,authorized_for,
