numeric_term,predictions_from,scored_against_gt,runs,f1_mean,f1_max
gt_recall_only,external_test_biogas,dev_production_line,5,0.193,0.211
gt_recall_only,external_test_biogas,external_test_sulfuric_acid,5,0.171,0.184
gt_recall_only,dev_production_line,external_test_sulfuric_acid,5,0.111,0.129
gt_recall_only,external_test_sulfuric_acid,external_test_biogas,5,0.092,0.126
gt_recall_only,external_test_sulfuric_acid,dev_production_line,5,0.062,0.089
gt_recall_only,external_test_desalination,external_test_biogas,5,0.081,0.081
gt_recall_only,dev_production_line,external_test_biogas,5,0.058,0.067
gt_recall_only,external_test_sulfuric_acid,external_test_desalination,5,0.032,0.053
gt_recall_only,external_test_biogas,external_test_desalination,5,0.037,0.037
gt_recall_only,external_test_desalination,external_test_sulfuric_acid,5,0.004,0.021
gt_recall_only,external_test_desalination,dev_production_line,5,0.0,0.0
gt_recall_only,dev_production_line,external_test_desalination,5,0.0,0.0
symmetric,dev_production_line,external_test_biogas,5,0.065,0.101
symmetric,external_test_sulfuric_acid,external_test_biogas,5,0.059,0.084
symmetric,external_test_desalination,external_test_biogas,5,0.075,0.081
symmetric,external_test_sulfuric_acid,dev_production_line,5,0.027,0.059
symmetric,dev_production_line,external_test_sulfuric_acid,5,0.036,0.05
symmetric,external_test_biogas,dev_production_line,5,0.025,0.035
symmetric,external_test_sulfuric_acid,external_test_desalination,5,0.016,0.027
symmetric,external_test_desalination,external_test_sulfuric_acid,5,0.021,0.021
symmetric,external_test_biogas,external_test_sulfuric_acid,5,0.016,0.02
symmetric,external_test_desalination,dev_production_line,5,0.007,0.018
symmetric,dev_production_line,external_test_desalination,5,0.0,0.0
symmetric,external_test_biogas,external_test_desalination,5,0.0,0.0
