ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,critLoUnit,pattern,primaryFault,resolutionSteps,secondaryEffect
RULE-ST01-01,Parameter,ST01_FILLING,FLW,Flow,MUST be maintained between 112 and 128 L/min,Maintain within range,Info,,,,,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-ST01-02,Parameter,ST01_FILLING,TMP,Temperature,"If TMP exceeds 26°C, reduce speed by 10% and notify QC",Reduce speed by 10% and notify QC,Warning,26,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-ST01-03,Parameter,ST01_FILLING,PRS,Pressure,PRS drop below 3.3 bar - inspect inlet valve within 5 min,Inspect inlet valve within 5 min,Warning,,,3.3,,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-ST02-01,Parameter,ST02_SEALING,TMP,Temperature,TMP MUST remain between 175°C and 195°C,Maintain within range,Info,,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-ST02-02,Parameter,ST02_SEALING,TMP,Temperature,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04","Emergency stop of ST02, ST03, ST04",Critical,210,210,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-ST02-03,Parameter,ST02_SEALING,CUR,Current,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance,Schedule maintenance,Warning,,1.5,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-ST02-04,Correlation,ST02_SEALING,CUR,Current,"CUR triggers WARNING, then monitor ST04_PACKAGING-SPD",Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,Warning,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-ST03-01,Parameter,ST03_LABELLING,TEN,Force,TEN MUST be between 1.8 and 2.6 N,Maintain within range,Info,,,,,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-ST03-02,Parameter,ST03_LABELLING,CNT,Count,CNT below 110 pcs/min - check for label jam. Below 100 (CRITICAL): halt.,Check for label jam; halt line if below 100 pcs/min,Warning,,110,100,100,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
RULE-ST03-03,Parameter,ST03_LABELLING,TEN_STUCK,StuckCount,TEN STUCK >10 consecutive samples - sensor failure,Signal sensor failure,Warning,,10,,,samples,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run1,1,False,,,,,
