ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,flow,MUST be maintained between 112 and 128 L/min,,,128.0,,,112.0,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,temperature,If TMP exceeds 26°C,reduce speed by 10% and notify QC,,26.0,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-ST01-03,ConditionRule,ST01_FILLING,PRS,pressure,PRS drop below 3.3 bar,inspect inlet valve within 5 min,,,,,3.3,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,temperature,TMP MUST remain between 175°C and 195°C,,,195.0,,,175.0,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,temperature,TMP > 210°C (CRITICAL),"emergency stop ST02, ST03, ST04",CRITICAL,210.0,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-ST02-03,ConditionRule,ST02_SEALING,CUR,current,CUR increase >1.5 A above nominal sustained >5 min,schedule maintenance,,1.5,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-ST02-04,ConditionRule,ST02_SEALING,CUR,current,Drift correlates with speed reduction at ST04_PACKAGING,monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,WARNING,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,force,TEN MUST be between 1.8 and 2.6 N,,,2.6,,,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-ST03-02,ConditionRule,ST03_LABELLING,CNT,count,CNT below 110 pcs/min and above 100 pcs/min - check for label jam; <100 (CRITICAL) - halt,,,110.0,100.0,,,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-ST03-03,ConditionRule,ST03_LABELLING,TEN,force,TEN STUCK >10 consecutive samples,sensor failure identified,,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,vibration,VIB > 0.20 mm/s (WARNING) - schedule maintenance within 24 h,,WARNING,,,0.20,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,vibration,VIB > 0.35 mm/s (CRITICAL) - emergency stop; inspect bearings,,CRITICAL,,,,0.35,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-ST04-03,ConditionRule,ST04_PACKAGING,SPD,speed,SPD drops below 1.00 m/s without operator command,verify RULE-ST02-04,,,,,1.00,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,temperature,TMP MUST NOT exceed 25°C,,,25.0,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,temperature,TMP > 28°C (CRITICAL),automatic controlled shutdown of all PLC nodes,CRITICAL,28.0,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,temperature,TMP MUST remain between 0.5°C and 8°C,notify QC and quarantine batch,,8.0,,0.5,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-WRH01-02,ConditionRule,WRH01_WAREHOUSE,HUM,humidity,HUM above 85%RH,inspect door seals and activate dehumidifier,,,,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,temperature,TMP MUST remain between 10°C and 20°C,activate emergency ventilation and notify safety officer immediately,,20.0,,10.0,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,humidity,HUM MUST NOT exceed 50%RH,activate desiccant system if HUM >45%RH,,50.0,45.0,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-CHM01-03,UnauthorizedAccessRule,CHM01_CHEMICALSTORAGE,,,Only personnel with hazmat training (technician/supervisor/manager) authorized; unauthorized entry must be escalated within 2 minutes,escalate unauthorized access report,,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,temperature,TMP MUST remain between 18°C and 26°C,,,26.0,,18.0,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-RND01-02,ConditionRule,RND01_RDLAB,HUM,humidity,HUM drift above 65%RH,activate dehumidifier,,,,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-RND01-03,ThresholdRule,RND01_RDLAB,HUM,humidity,HUM > 75%RH (CRITICAL),suspend sensitive experiments and inspect HVAC system,CRITICAL,,,75.0,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-CAF01-01,ConditionRule,CAF01_CAFETERIA,TMP,temperature,TMP above 26°C,check ventilation system,,26.0,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
RULE-CAF01-02,ConditionRule,CAF01_CAFETERIA,HUM,humidity,HUM above 70%RH,inspect drainage and activate ventilation,,,,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
SOP-002_ST01_FILLING,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TMP,18.0,Inspect and notify maintenance,CRITICAL,30.0,26.0,18.0,15.0,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run5,2,False
