item,corpus,gt_id,pred_id,combined_score,decision
P001,external_test_sulfuric_acid,R005,3.1,0.4919,REJECTED (below threshold)
P002,external_test_biogas,R11,SOPBDG003MID-006,0.7615,TP (counted as found)
P003,external_test_biogas,R08,SOPBDG003MID-004,0.7455,TP (counted as found)
P004,external_test_desalination,OP-SD-001,OP-SD-001,0.496,REJECTED (below threshold)
P005,external_test_desalination,OP-ST-004,OP-ST-004,0.8673,TP (counted as found)
P006,external_test_desalination,OP-ST-002,OP-ST-002,0.4923,REJECTED (below threshold)
P007,external_test_desalination,FQ-03,SOPROV4HIGHP-006,0.8916,TP (counted as found)
P008,external_test_desalination,OP-ST-002,OP-ST-002,0.3127,REJECTED (below threshold)
P009,dev_production_line,RULE-WRH01-01b,SOP001OPERAT-003,0.4514,REJECTED (below threshold)
P010,external_test_sulfuric_acid,R011,SOPSAOP002-007,0.9378,TP (counted as found)
P011,external_test_desalination,OP-ST-003,SOPROV4HIGHP-021,0.2273,REJECTED (below threshold)
P012,dev_production_line,RULE-ST02-03,RULE-ST02-03,0.7315,TP (counted as found)
P013,external_test_sulfuric_acid,R002,SOPSAOP002-002,0.4177,REJECTED (below threshold)
P014,dev_production_line,RULE-THR-WRH01-TMP-CRIT,SOP001OPERAT-003,0.4316,REJECTED (below threshold)
P015,external_test_desalination,OP-ST-002,OP-ST-002,0.4713,REJECTED (below threshold)
P016,dev_production_line,RULE-OCC-CAFETERIA,SOP001OPERAT-010,0.6746,TP (counted as found)
P017,external_test_sulfuric_acid,R041,SOPSAESD005-002,0.8115,TP (counted as found)
P018,external_test_desalination,OP-ST-001,OP-ST-001,0.6034,TP (counted as found)
P019,external_test_sulfuric_acid,R044,SOPSAESD005-003,0.6669,TP (counted as found)
P020,external_test_biogas,R34,4.1,0.9023,TP (counted as found)
P021,dev_production_line,RULE-ST03-02b,SOP001OPERAT-004,0.4168,REJECTED (below threshold)
P022,dev_production_line,RULE-RND01-02b,SOP001OPERAT-009,0.4695,REJECTED (below threshold)
P023,external_test_biogas,R41,SOPBDG003MID-017,0.3525,REJECTED (below threshold)
P024,dev_production_line,RULE-THR-RND01-HUM-CRIT,SOP002ALARMT-021,0.8405,TP (counted as found)
P025,external_test_sulfuric_acid,R002,SOPSAOP002-002,0.4316,REJECTED (below threshold)
P026,external_test_desalination,OP-ST-003,SOPROV4HIGHP-021,0.2127,REJECTED (below threshold)
P027,external_test_biogas,R23,SOPBDG003MID-012,0.8803,TP (counted as found)
P028,external_test_biogas,R40,4.6,0.7091,TP (counted as found)
P029,external_test_biogas,R40,4.6,0.7131,TP (counted as found)
P030,external_test_biogas,R40,4.6,0.7254,TP (counted as found)
P031,dev_production_line,RULE-ST02-03,RULE-ST02-03,0.7396,TP (counted as found)
P032,external_test_desalination,OP-SD-001,OP-SD-001,0.4958,REJECTED (below threshold)
P033,dev_production_line,RULE-CHM01-02b,SOP001OPERAT-002,0.4192,REJECTED (below threshold)
P034,external_test_biogas,R22,SOPBDG003MID-017,0.3562,REJECTED (below threshold)
P035,dev_production_line,RULE-ACK-TECH-CRIT,SOP004PERSON-051,0.8123,TP (counted as found)
P036,external_test_biogas,R37,4.4,0.9087,TP (counted as found)
P037,external_test_biogas,R29,SOPBDG003MID-016,0.7248,TP (counted as found)
P038,external_test_desalination,OP-ST-003,OP-ST-003,0.5337,REJECTED (below threshold)
P039,dev_production_line,RULE-ACK-MAN-CRIT,SOP004PERSON-046,0.4789,REJECTED (below threshold)
P040,dev_production_line,RULE-CHM01-02b,SOP001OPERAT-002,0.4194,REJECTED (below threshold)
P041,external_test_sulfuric_acid,R062,SOPSAMNT008-005,0.8379,TP (counted as found)
P042,dev_production_line,RULE-ST04-02,RULE-ST04-02,0.7428,TP (counted as found)
P043,external_test_sulfuric_acid,R028,7.1,0.7303,TP (counted as found)
P044,external_test_sulfuric_acid,R070,5.2,0.5284,REJECTED (below threshold)
P045,external_test_biogas,R41,SOPBDG003MID-017,0.3501,REJECTED (below threshold)
P046,dev_production_line,RULE-ACK-OP-CRIT,SOP001OPERAT-001,0.5464,REJECTED (below threshold)
P047,external_test_sulfuric_acid,R003,2.3,0.4468,REJECTED (below threshold)
P048,external_test_sulfuric_acid,R048,SOPSAESD005-004,0.7118,TP (counted as found)
P049,external_test_sulfuric_acid,R044,SOPSAESD005-003,0.6701,TP (counted as found)
P050,external_test_sulfuric_acid,R007,3.3,0.338,REJECTED (below threshold)
P051,dev_production_line,RULE-THR-ST04-VIB-CRIT,SOP002ALARMT-011,0.8902,TP (counted as found)
P052,external_test_desalination,OP-ST-001,OP-ST-001,0.7206,TP (counted as found)
P053,dev_production_line,RULE-THR-WRH01-TMP-CRIT,SOP002ALARMT-016,0.8414,TP (counted as found)
P054,external_test_desalination,OP-AL-001,OP-AL-001,0.834,TP (counted as found)
P055,external_test_sulfuric_acid,R034,2.1,0.4564,REJECTED (below threshold)
P056,external_test_desalination,OP-SD-001,OP-SD-001,0.4298,REJECTED (below threshold)
P057,dev_production_line,RULE-ACK-SUP-CRIT,SOP001OPERAT-006,0.5597,REJECTED (below threshold)
P058,external_test_sulfuric_acid,R057,5.1,0.5006,REJECTED (below threshold)
P059,dev_production_line,RULE-ACK-OP-WARN,SOP004PERSON-050,0.7412,TP (counted as found)
P060,external_test_desalination,OP-AL-001,OP-AL-001,0.8322,TP (counted as found)
