ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,Range check,Maintain flow,Normal,,128,112,,L/min,SOP_001_OperatingProcedures.txt,gemma4:31b,pre_act,1,gemma4-31b_pre_act_ctexts_s42_run2,1,False
RULE-ST01-02,LogicRule,ST01_FILLING,TMP,Temperature,TMP > 26°C,reduce speed by 10% and notify QC,Warning,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,pre_act,1,gemma4-31b_pre_act_ctexts_s42_run2,1,False
RULE-ST01-03,LogicRule,ST01_FILLING,PRS,Pressure,PRS < 3.3 bar,inspect inlet valve within 5 min,Warning,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,pre_act,1,gemma4-31b_pre_act_ctexts_s42_run2,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,Range check,Maintain temperature,Normal,,195,175,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,pre_act,1,gemma4-31b_pre_act_ctexts_s42_run2,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,TMP > 210,"emergency stop ST02, ST03, ST04",Critical,210,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,pre_act,1,gemma4-31b_pre_act_ctexts_s42_run2,1,False
RULE-ST02-03,LogicRule,ST02_SEALING,CUR,Current,Increase >1.5 A above nominal >5 min,schedule maintenance,Warning,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,pre_act,1,gemma4-31b_pre_act_ctexts_s42_run2,1,False
RULE-ST02-04,LogicRule,ST02_SEALING,CUR,Current,CUR triggers WARNING,Monitor ST04_PACKAGING-SPD,Warning,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,pre_act,1,gemma4-31b_pre_act_ctexts_s42_run2,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,Range check,Maintain tension,Normal,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,gemma4:31b,pre_act,1,gemma4-31b_pre_act_ctexts_s42_run2,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Counter,"Below 110 (Warning), Below 100 (Critical)",check for label jam / halt,Critical,,,110,100,pcs/min,SOP_001_OperatingProcedures.txt,gemma4:31b,pre_act,1,gemma4-31b_pre_act_ctexts_s42_run2,1,False
RULE-ST03-03,LogicRule,ST03_LABELLING,TEN,Tension,TEN STUCK > 10 samples,sensor failure,Critical,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,pre_act,1,gemma4-31b_pre_act_ctexts_s42_run2,1,False
