ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLOW_RATE,Flow,"OUT_OF_RANGE [112.0, 128.0] L/min (DRIFT/SPIKE)",adjust pump speed; log deviation (SOP-001 §2.1.1),CRITICAL,128.0,125.0,115.0,112.0,L/min,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion_guided,2,ministral-3-8b_reflexion_guided_s42_run1,3,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TEMPERATURE,Temperature,> 26.0°C (SPIKE),reduce speed by 10%; notify QC (SOP-001 §2.1.2),WARNING,26.0,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion_guided,2,ministral-3-8b_reflexion_guided_s42_run1,3,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRESSURE,Pressure,< 3.3 bar (DRIFT),inspect inlet valve within 5 min (SOP-001 §2.1.3),CRITICAL,,3.4,3.3,,bar,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion_guided,2,ministral-3-8b_reflexion_guided_s42_run1,3,False
RULE-ST01-04,DependencyRule,ST01_FILLING,ST01_FILLING_STATUS,OperationalStatus,FAULT,halt ST02_SEALING (SOP-001 §1.1),CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion_guided,2,ministral-3-8b_reflexion_guided_s42_run1,3,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TEMPERATURE,Temperature,"OUT_OF_RANGE [175.0, 195.0] °C (DRIFT)",adjust heater (SOP-001 §2.2.1),WARNING,195.0,190.0,180.0,175.0,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion_guided,2,ministral-3-8b_reflexion_guided_s42_run1,3,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TEMPERATURE,Temperature,> 210.0°C (SPIKE),emergency stop ST02/ST03/ST04 (SOP-001 §2.2.2),CRITICAL,210.0,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion_guided,2,ministral-3-8b_reflexion_guided_s42_run1,3,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CURRENT,Current,> (nominal + 1.5 A) sustained >5 min (DRIFT),schedule maintenance (SOP-001 §2.2.3),WARNING,1.5,,,,A,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion_guided,2,ministral-3-8b_reflexion_guided_s42_run1,3,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,ST02_SEALING_CURRENT,Current,CORRELATED with ST04_PACKAGING_SPEED (DRIFT),monitor ST04_VIBRATION (SOP-001 §2.2.4),WARNING,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion_guided,2,ministral-3-8b_reflexion_guided_s42_run1,3,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TENSION,Tension,"OUT_OF_RANGE [1.8, 2.6] N (STUCK)",adjust rollers (SOP-001 §2.3.1),WARNING,2.6,2.5,2.0,1.8,N,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion_guided,2,ministral-3-8b_reflexion_guided_s42_run1,3,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_PRODUCTION_RATE,Count,< 100 pcs/min (CRITICAL) or < 110 pcs/min (WARNING),halt at <100; check jam at <110 (SOP-001 §2.3.2),CRITICAL,,110.0,100.0,,pcs/min,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion_guided,2,ministral-3-8b_reflexion_guided_s42_run1,3,False
