ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,flow rate,between 112 and 128 L/min,,,128,115,112,,L/min,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,pressure,drop below 3.3 bar,inspect inlet valve within 5 min,,,3.3,3.3,,bar,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,tension,10 consecutive samples of TEN stuck > 10 (CRITICAL),,,,,10,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,temperature,210°C < TMP (CRITICAL),,,,,210,,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST02-04,ThresholdRule,ST02_SEALING,CUR,current,CUR > 2.0 A (sustained) above nominal,,,,,2,,A,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,tension,between 1.8 and 2.6 N,,,2.6,1.9,1.8,,N,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,temperature,between 175 and 195°C,,,195,180,175,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,temperature,26°C < TMP <= 195°C,,,,,26,195,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,count,110 pcs/min <= CNT < 100 (CRITICAL),,,,,110,100,pcs/min,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
ST01_FILLING,ThresholdRule,ST01,TMP,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
ST01_FILLING,ThresholdRule,ST01,PRS,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,,4.8,3.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
ST01_FILLING,ThresholdRule,ST01,FLW,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
ST02_SEALING,ThresholdRule,ST02,TMP,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,E-STOP ST02/ST03/ST04; inspect element,,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,self_consistency,2,llama-3_2-3b-instruct_self_consistency_run1,3,False
