ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,linkedSensor,linkedStation,patterns
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,Maintained between 112 and 128 L/min,,,128.0,128.0,112.0,112.0,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-ST01-02,ConditionalActionRule,ST01_FILLING,ST01_FILLING_TMP,TMP,Exceeds 26°C,Reduce speed by 10% and notify QC,,28.0,26.0,26.0,26.0,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-ST01-03,ConditionalActionRule,ST01_FILLING,ST01_FILLING_PR,PR,Drop below 3.3 bar,Inspect inlet valve within 5 min,,,,3.3,3.3,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,Remains between 175°C and 195°C,,,195.0,195.0,175.0,175.0,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-ST02-02,ConditionalActionRule,ST02_SEALING,ST02_SEALING_TMP,TMP,CRITICAL >210°C,"Emergency stop ST02, ST03, ST04",CRITICAL,210.0,210.0,,210.0,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-ST02-03,ConditionalActionRule,ST02_SEALING,ST02_SEALING_CUR,CUR,Increase >1.5 A above nominal sustained >5 min,Schedule maintenance,,1.5,1.5,1.5,1.5,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-ST02-04,ConditionalActionRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,Drops below 1.00 m/s without operator command,Verify RULE-ST02-04,,1.00,,,1.00,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,Between 1.8 and 2.6 N,,,2.6,2.6,1.8,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-ST03-02,ConditionalActionRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,Below 110 pcs/min - check jam; Below 100 (CRITICAL) - halt,Check for label jam; Halt if below 100,,100.0,110.0,,100.0,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-ST03-03,ConditionalActionRule,ST03_LABELLING,ST03_LABELLING_TEN_stuck,TEN_STUCK,>10 consecutive samples stuck,Sensor failure,,10.0,,,10.0,samples,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,WARNING >0.20 mm/s,Schedule maintenance within 24 h,WARNING,0.20,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-ST04-02,ConditionalActionRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,CRITICAL >0.35 mm/s,Emergency stop; inspect bearings,CRITICAL,0.35,,,0.35,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-2.5,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,Must NOT exceed 25°C,,,25.0,25.0,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-2.5.2,ConditionalActionRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,>28°C (CRITICAL),Automatic controlled shutdown of all PLC nodes,CRITICAL,28.0,28.0,,28.0,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,Remain between 0.5°C and 8°C; Critical above 12°C,Notify QC and quarantine batch,,12.0,8.0,0.5,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
RULE-WRH01-02,ConditionalActionRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,HUM,Above 85%RH,Inspect door seals and activate dehumidifier,,85.0,85.0,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion_guided,2,nemotron-3-nano-30b_reflexion_guided_ctexts_s42_run2,3,False,,,
