ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,112 <= value <= 128,Maintain flow,INFO,128,,,112,L/min,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run3,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,value > 26,"Reduce speed 10%, notify QC",WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run3,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,value < 3.3,Inspect inlet valve within 5 min,WARNING,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run3,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,175 <= value <= 195,Maintain temperature,INFO,195,,,175,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run3,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,value > 210,"Emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run3,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,value > nominal + 1.5 for 5 min,Schedule maintenance,WARNING,,1.5,,,A,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run3,1,False
RULE-ST02-04,CausalRule,ST02_SEALING,CUR,Current,CUR trigger WARNING,Monitor ST04_PACKAGING-SPD,WARNING,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run3,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,1.8 <= value <= 2.6,Maintain tension,INFO,2.6,,,1.8,N,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run3,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,value < 100,Halt line,CRITICAL,,110,,100,pcs/min,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run3,1,False
RULE-ST03-03,SensorFaultRule,ST03_LABELLING,TEN,Tension,Stuck > 10 consecutive samples,Flag sensor failure,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,cot_structured,1,gemma4-31b_cot_structured_ctexts_s42_run3,1,False
