ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,pattern,primaryFault,resolution,secondaryEffect
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,If exceeds,reduce speed by 10% and notify QC.,,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,PRS drop below,inspect inlet valve within 5 min.,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,MUST remain between,,,195,,175,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,TMP >,"emergency stop ST02, ST03, ST04.",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance.,,,,,,,A,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,WARNING,,,,,A,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Force,MUST be between,,,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,CNT below,check for label jam. Below 100 (CRITICAL): halt.,,100,,110,,pcs/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,VIB >,schedule maintenance within 24 h.,WARNING,0.35,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,VIB >,emergency stop; inspect bearings.,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-ST04-03,CorrelationRule,ST04_PACKAGING,SPD,Speed,SPD drops below 1.00 m/s without operator command - verify RULE-ST02-04.,,,,,1.0,,m/s,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,MUST NOT exceed,,,25,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,TMP >,automatic controlled shutdown of all PLC nodes.,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,MUST remain between,,,8,,0.5,12,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-CHM01-03,AuthorizationRule,CHM01_CHEMICALSTORAGE,,,Only personnel with hazmat training (technician/supervisor/manager role) are authorised to enter Chemical Storage.,UNAUTHORIZED_ACCESS must be escalated within 2 minutes.,,,,,,,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,MUST remain between,,,26,,18,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,FlowRate,MUST be maintained between,,,128,,,112,L/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,Force,TEN STUCK >10 consecutive samples - sensor failure.,,,,,10,,samples,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,RelativeHumidity,HUM above,inspect door seals and activate dehumidifier.,,85,,,,%RH,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,RelativeHumidity,HUM drift above,activate dehumidifier. Above 75%RH (CRITICAL) - suspend sensitive experiments and inspect HVAC system.,,75,65,,,%RH,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,RelativeHumidity,MUST NOT exceed,Activate desiccant system if HUM >45%RH.,,50,,,,%RH,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,TMP above,check ventilation system. Occupant comfort is the primary criterion.,,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,RelativeHumidity,HUM above,inspect drainage and activate ventilation.,,70,,,,%RH,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,MUST remain between,,,20,,10,25,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
SRV01_SERVERROOM_TMP,ThresholdRule,SRV01_SERVERROOM,TMP,,CRIT_LO,Activate backup cooling; prepare controlled PLC,,28,,16,16,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
SRV01_SERVERROOM_HUM,ThresholdRule,SRV01_SERVERROOM,HUM,,CRIT_LO,Inspect and notify maintenance,,80,,25,25,%RH,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
WRH01_WAREHOUSE_TMP,ThresholdRule,WRH01_WAREHOUSE,TMP,,CRIT_LO,Activate backup refrigeration; notify,,12,,-1,-1,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
WRH01_WAREHOUSE_HUM,ThresholdRule,WRH01_WAREHOUSE,HUM,,CRIT_LO,Inspect and notify maintenance,,90,,55,55,%RH,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
CHM01_CHEMICALSTORAGE_TMP,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,,CRIT_LO,Activatemergency ventilation; notify safety officer,,25,,5,5,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
CHM01_CHEMICALSTORAGE_HUM,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,,CRIT_LO,Activate desiccant system; inspect storage containers,,60,,15,15,%RH,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
RND01_RDLAB_TMP,ThresholdRule,RND01_RDLAB,TMP,,CRIT_LO,Inspect and notify maintenance,,30,,15,15,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,self_consistency,2,mistralai-mistral-7b-instruct-v0_3_self_consistency_run1,3,False,,,,
